exp_id,id_in_exp,yres,ypred,w
0,0,0.0002100786087694414,0.029394088752641243,0.05
0,1,6.35747369445576e-05,0.03187337675922552,0.05
0,2,1.0954871664212424e-05,0.031990185554413596,0.05
0,3,7.761186403923586e-05,0.03199024040967997,0.05
0,4,5.3432585268097386e-05,0.031990240409692165,0.05
1,0,8.997995511410897e-32,-2.999665899964677e-16,0.05
1,1,6.708003796855525e-05,0.031990240409692214,0.05
1,2,8.94153770775625e-06,0.031990240409692214,0.05
1,3,4.237696992360419e-05,0.031990240409692214,0.05
1,4,0.00010423919089188184,0.031990240409692214,0.05
1,5,9.427943130157404e-05,0.031990240409692214,0.05
1,6,0.00010019528705575875,0.031990240409692214,0.05
2,0,2.1998354815965117e-05,0.0319902403793372,0.05
2,1,0.00019670862274124169,0.007174714878433248,0.05
2,2,0.00030034018291582134,0.0015696744717295823,0.05
2,3,0.000209089588375539,0.000340069558412842,0.05
3,0,0.0006248282896633624,0.05130343444264068,0.05
3,1,5.6534758632640246e-05,0.0761189599435454,0.05
3,2,3.8738180359900586e-05,0.08172400035024907,0.05
3,3,0.00012664363142815636,0.08295360526356582,0.05
