outer_resampling_id,train_mse
0,5.819356379112636e-06
1,5.626632137258118e-06
2,5.5024432356879765e-06
3,5.8704684868681946e-06
4,5.825657841770919e-06
5,6.020029765958966e-06
6,4.666046319033655e-06
7,5.574370328654759e-06
8,5.496478700201251e-06
9,5.696045733533802e-06
10,5.952009565783827e-06
11,6.010627155124249e-06
12,5.981994057245574e-06
13,5.717108779298712e-06
14,5.564085196821938e-06
15,5.222169815860631e-06
16,5.593931508444356e-06
17,5.988529399748317e-06
18,6.015668667644159e-06
19,5.793435074995327e-06
