outer_resampling_id,train_mse
0,1.1820802958713333e-05
1,1.1772968896428763e-05
2,1.167403572884539e-05
3,1.1781674782118012e-05
4,1.171654987455095e-05
5,1.1843837448588814e-05
6,1.0284123806229278e-05
7,1.0709496531576606e-05
8,1.0090060759720558e-05
9,1.0054888503278468e-05
10,1.0476397818998829e-05
11,1.0813678058983677e-05
12,1.1673162581159384e-05
13,1.1228413996531792e-05
14,1.0983143489735183e-05
15,1.0477617903777645e-05
16,1.1555272185189169e-05
17,1.1800187464404494e-05
18,1.1839942014079747e-05
19,1.171050994314939e-05
