outer_resampling_id,train_mse
0,1.3508062168978194e-05
1,1.2649615819080832e-05
2,1.1170547440213764e-05
3,1.0853652350497883e-05
4,1.2374182592223903e-05
5,1.406044136970417e-05
6,1.344378768790331e-05
7,1.3760223242506782e-05
8,1.3734685647643797e-05
9,1.3994609375810856e-05
10,1.3912677520947828e-05
11,1.2297427870882867e-05
12,1.284957673888118e-05
13,1.3887804337783013e-05
14,1.4052303352467004e-05
15,1.3600669162002285e-05
16,1.4002662746758609e-05
17,1.3991419347291259e-05
18,1.4039645132529396e-05
19,1.4045461091161326e-05
