outer_resampling_id,train_mse
0,4.791676645746365e-06
1,5.502863224209167e-06
2,5.6748587339661095e-06
3,5.464835383513297e-06
4,5.541028143294518e-06
5,5.710833574721446e-06
6,5.497728241444161e-06
7,5.6810906359164944e-06
8,5.575864091488861e-06
9,5.380923894940006e-06
10,5.412310808531421e-06
11,5.393667797018604e-06
12,5.639901288058435e-06
13,5.699020086300592e-06
14,5.301272764744289e-06
15,5.118847781032585e-06
16,4.04704662697745e-06
17,5.690685468827306e-06
18,5.58964675511434e-06
19,4.7669342929858484e-06
