resampling_id,train_rss,train_mse,train_nmse
0,0.00023980387182700333,1.2621256411947544e-05,0.02913513841437542
1,0.0002246905313466272,1.1825817439296168e-05,0.026219434064221725
2,0.00019837362034563552,1.0440716860296606e-05,0.022660761755402905
3,0.00019268074212806647,1.0141091690950868e-05,0.02203274277638779
4,0.00021972800848263892,1.1564632025402047e-05,0.02510049416094025
5,0.00024938169262543136,1.3125352243443756e-05,0.03418591182411163
6,0.0002382597101565942,1.2539984745083906e-05,0.027812018830215147
7,0.00024396904977534636,1.2840476303965597e-05,0.028087774558479914
8,0.00024351999415298792,1.281684179752568e-05,0.027809716072117754
9,0.00024834070864559294,1.3070563612925945e-05,0.02843777107050453
10,0.0002472098552879874,1.301104501515723e-05,0.02829236671724266
11,0.0002170607894237745,1.14242520749355e-05,0.02485010358471395
12,0.00022822738619400414,1.201196769442127e-05,0.026374735269685944
13,0.0002464462363653657,1.2970854545545563e-05,0.02904198346365092
14,0.00024926269374176487,1.3119089144303414e-05,0.029665628291074546
15,0.00024100882194163652,1.2684674839033502e-05,0.029298347329725784
16,0.00024828353018272863,1.3067554220143611e-05,0.0346962366348945
17,0.00024812021514295933,1.3058958691734701e-05,0.032115113192590965
18,0.0002490291937625285,1.3106799671712025e-05,0.03448700763733193
19,0.0002491128751002812,1.311120395264638e-05,0.03316430048800651
