outer_resampling_id,train_mse
0,1.2728073717680297e-05
1,1.1923654163897885e-05
2,1.0506093268400838e-05
3,1.0200657053294443e-05
4,1.1665391863163382e-05
5,1.3195074840089714e-05
6,1.2581082326970293e-05
7,1.2898777120547245e-05
8,1.2875720296480453e-05
9,1.3132992609645932e-05
10,1.3042698806216099e-05
11,1.1416013189736201e-05
12,1.211416696401096e-05
13,1.3069699330365786e-05
14,1.3173151773971147e-05
15,1.2639084846816586e-05
16,1.3136912601029437e-05
17,1.3125997764259967e-05
18,1.317436006829922e-05
19,1.3179998061349748e-05
