resampling_id,train_rss,train_mse,train_nmse
0,0.0003079448436835779,1.6207623351767257e-05,0.03741397324554766
1,0.0003092316178057589,1.627534830556626e-05,0.03608464480028662
2,0.0003070769110405441,1.6161942686344428e-05,0.03507823625717239
3,0.0003063578275733778,1.612409618807252e-05,0.03503154045343478
4,0.00030918875997314784,1.6273092630165675e-05,0.03531998818870444
5,0.00030923598069058895,1.6275577931083628e-05,0.04239089829504631
6,0.0002804739574160415,1.4761787232423238e-05,0.03273968133308423
7,0.0002790654334882153,1.4687654394116596e-05,0.03212836624194429
8,0.000258895959711955,1.3626103142734474e-05,0.029565634464021547
9,0.0002526469809324318,1.3297209522759567e-05,0.02893088710503733
10,0.0002589249420616565,1.3627628529560868e-05,0.029633120429261323
11,0.0002632215659425086,1.3853766628553084e-05,0.03013479862837683
12,0.00030720726795992453,1.6168803576838133e-05,0.03550191981990699
13,0.0003006785076728163,1.582518461435875e-05,0.03543288133142032
14,0.00029704969652352584,1.563419455386978e-05,0.03535292726224319
15,0.0002890377297824904,1.5212512093815285e-05,0.03513700341066166
16,0.0003043693604439081,1.6019440023363585e-05,0.04253391816445163
17,0.00030823846593528695,1.6223077154488785e-05,0.03989643978874823
18,0.00030921493974488,1.627447051288842e-05,0.04282187894294749
19,0.00030741424377677,1.617969704088263e-05,0.04092593909809753
