outer_resampling_id,train_mse
0,1.2392972397204915e-05
1,1.1616530973863661e-05
2,1.0227433493539937e-05
3,9.927142379874436e-06
4,1.1366833587608429e-05
5,1.2828862511188274e-05
6,1.2216016040146829e-05
7,1.2534243472731838e-05
8,1.2512233578046997e-05
9,1.27683434150806e-05
10,1.2674369169263822e-05
11,1.1042321979604515e-05
12,1.1803762556860208e-05
13,1.2719376004830529e-05
14,1.2800040480288419e-05
15,1.2237172073878489e-05
16,1.2768257916032263e-05
17,1.2759616182936636e-05
18,1.2808698799005204e-05
19,1.2813126830381456e-05
