outer_resampling_id,train_mse
0,4.4682882677345325e-06
1,5.179902073175416e-06
2,5.36055515081305e-06
3,5.154731226747043e-06
4,5.2297777635340435e-06
5,5.394003212254306e-06
6,5.174674175527338e-06
7,5.3619882601319676e-06
8,5.264002676431288e-06
9,5.071890172144407e-06
10,5.102894718522355e-06
11,5.084481118088712e-06
12,5.31950609639352e-06
13,5.389331766317924e-06
14,5.089457668002773e-06
15,4.87754623218784e-06
16,3.852575631020439e-06
17,5.37519774254121e-06
18,5.3020911235709516e-06
19,4.460214339932404e-06
