n_im,nt_norm,sample_id
3,1.7778234066470364,0
6,0.5274818746536982,0
9,0.012857308708220216,0
12,-0.505496552355208,0
3,1.1580051030752891,1
6,0.5235551710448338,1
9,1.311266162666,1
12,0.7986255210591189,1
3,0.5599598930317604,2
6,0.6554452429413473,2
9,0.78826601649719,2
12,0.9207685094100806,2
3,0.9195223441389855,3
6,0.9523685770932682,3
9,0.1726107874688152,3
12,0.03728346211866329,3
3,0.7056826870861908,4
6,0.1165284299490521,4
9,1.197837560892253,4
12,1.5036350465312363,4
3,1.7850685083520517,5
6,0.01656174633662144,5
9,0.13518537591922186,5
12,-0.07581269510420041,5
3,2.05622229758991,6
6,1.1522523768297823,6
9,1.0570856842834089,6
12,0.7076224125482335,6
3,3.228314212084293,7
6,0.3940080806777395,7
9,-0.13694087091402296,7
12,0.04352241953934355,7
3,0.6805138911589454,8
6,0.7743321207606091,8
9,0.21187605502304385,8
12,-0.45249044713695574,8
3,0.7025483209111412,9
6,-0.07166131781869711,9
9,0.39658316936125493,9
12,0.09995224920111356,9
3,-0.11158425398204308,10
6,-0.21925700004403859,10
9,-0.32178086042232756,10
12,-0.3950142752018524,10
3,2.183859828012506,11
6,0.8291778816523245,11
9,0.9895478472473598,11
12,1.1339595743080166,11
3,1.0476142763083176,12
6,0.3615993784219449,12
9,0.3337771529882647,12
12,0.9671631230648319,12
3,0.8346576264499992,13
6,1.3171332178055153,13
9,0.8392809180948211,13
12,1.3727219582309997,13
3,1.5846698695903843,14
6,1.6973482198656296,14
9,1.786759771828328,14
12,0.8669310982692977,14
3,2.6792570903390445,15
6,-0.017632870991344696,15
9,0.19576200647363518,15
12,0.8457223024884959,15
3,0.8937776572195817,16
6,0.4643099554308414,16
9,0.27498577219795517,16
12,0.5391452247634421,16
3,0.680020827741699,17
6,1.6684926606490038,17
9,2.30289586494326,17
12,2.6224635366127305,17
3,0.058861239739464555,18
6,0.5801786102230144,18
9,0.7532596590375307,18
12,0.3825156863767578,18
3,1.4324302432422609,19
6,1.0604517294794573,19
9,0.8471399782829714,19
12,0.31264976999881133,19
3,1.154585788210124,20
6,1.290236463168138,20
9,1.4268697171407796,20
12,1.1732489635127923,20
3,1.6859202571857683,21
6,-0.03204494614809583,21
9,0.1864714629737967,21
12,0.5847990749711225,21
3,0.7833519770477759,22
6,0.8536966738636087,22
9,1.7266483403126607,22
12,0.5444862108974897,22
3,2.111640157114728,23
6,0.6163074853305703,23
9,0.6984321936682472,23
12,0.1773587956090994,23
3,1.644470566684648,24
6,0.5159160344347562,24
9,0.8276705544193983,24
12,0.7039504227024782,24
3,1.4920233894445925,25
6,1.4822516594205146,25
9,0.7221854917234678,25
12,0.0964945967551647,25
3,1.4700397598994233,26
6,1.22408304730903,26
9,2.699913149170417,26
12,1.5404061663451407,26
3,0.9539583336387512,27
6,0.44501697384839023,27
9,0.7624819362726005,27
12,0.6928699001750505,27
3,-0.13798874346659318,28
6,0.5507290613923885,28
9,1.8510626835882151,28
12,0.30727163934527413,28
3,1.657581496471122,29
6,0.5899539002542913,29
9,0.4995260739081919,29
12,-0.08361480185838355,29
3,1.7808856624555927,30
6,2.2445344521734136,30
9,0.9204668265545752,30
12,1.274938731520153,30
3,0.8838266263179853,31
6,1.3294251546372542,31
9,0.9840612654149337,31
12,1.341697605158695,31
3,1.3170118211265618,32
6,0.5911337297871451,32
9,0.22712849464503293,32
12,0.2530607460613217,32
3,1.0355701570556501,33
6,0.7604602876883699,33
9,0.5406873926103826,33
12,0.05845132226801519,33
3,2.193602772864029,34
6,1.551314325778027,34
9,2.803107592875404,34
12,1.7025396925664715,34
3,1.9744970294954187,35
6,0.4736400414359978,35
9,1.05529688744413,35
12,0.5585016346431422,35
3,1.7024533007854137,36
6,2.161019236986049,36
9,2.7546023779598934,36
12,1.0347241845514143,36
3,1.3780355694709783,37
6,1.6415855404537625,37
9,1.1212076051316289,37
12,1.3013814912919108,37
3,0.8705824605805825,38
6,1.8922435840871847,38
9,0.9797253862617694,38
12,0.4055886886433804,38
3,2.712427055801899,39
6,5.148975069439075,39
9,1.8351269646849584,39
12,1.7085891099928125,39
3,1.9243208984234972,40
6,1.190847252503777,40
9,2.8674921521578502,40
12,2.691064319047448,40
3,1.2857164524498936,41
6,0.7440905752225762,41
9,0.5607826972165224,41
12,1.3009338424979258,41
3,1.1028227937387614,42
6,-0.18980380181546153,42
9,0.44574832167465006,42
12,0.014581033927429488,42
3,1.0371193426152743,43
6,0.4884269685550635,43
9,1.368791858651123,43
12,0.20676217447855771,43
3,2.05800619828438,44
6,0.4141962788424629,44
9,0.3778968928149302,44
12,0.47024906847871106,44
3,1.5727645800691488,45
6,0.6366063803673307,45
9,0.8191588919831614,45
12,0.5154727989389132,45
3,1.1889826351206179,46
6,0.9654529887638947,46
9,0.4277853748887739,46
12,-0.11179609062486184,46
3,0.5979847283408708,47
6,0.2894891902569503,47
9,-0.07667062549926573,47
12,0.1611195246731434,47
3,2.716428650070023,48
6,1.3419235731285828,48
9,0.9378756410020985,48
12,0.6168543282739667,48
3,4.023654476128284,49
6,2.762315725888084,49
9,0.7972581592445995,49
12,0.8889330516482983,49
