outer_resampling_id,train_mse
0,4.076941551708405e-06
1,4.092606767135987e-06
2,3.92340742636937e-06
3,3.883548847722353e-06
4,4.091576778679946e-06
5,4.228302385900901e-06
6,3.709315231013817e-06
7,3.699577568319649e-06
8,4.205470855527982e-06
9,4.0102576547558425e-06
10,4.067956528637785e-06
11,4.057968332313064e-06
12,3.867480738077704e-06
13,4.057031126830739e-06
14,4.067816713983697e-06
15,4.084106309293454e-06
16,2.044519415371319e-06
17,4.5375272011920334e-06
18,4.844102475345341e-06
19,3.7706807509139176e-06
