resampling_id,shift,coef
0,0.03041879673522156,0.02176558295311754
1,0.03048975740934651,0.02172933235295313
2,0.030813609681485277,0.02156389086899861
3,0.030919556402633795,0.021509767479185198
4,0.030472026047325365,0.021738390504146363
5,0.030462003354252924,0.021743510644895037
6,0.02971603070738949,0.022124594343556465
7,0.029571164471501217,0.022198599953836672
8,0.030591796975830525,0.02167720495180906
9,0.030994706123582693,0.02147137688439197
10,0.03091428363941046,0.021512461095525907
11,0.030931776776688708,0.021503524642583278
12,0.03012236411337973,0.021917016977421735
13,0.03051399109799865,0.021716952457064714
14,0.03038882081851778,0.021780896293702185
15,0.03046529042150743,0.021741831430848298
16,0.026564444679081242,0.021900127537084514
17,0.03165525379346192,0.021737410229966433
18,0.030621031111736398,0.021746373011179987
19,0.03255794120108582,0.021813598984355052
