outer_resampling_id,train_mse
0,1.1128327963500424e-06
1,1.1148892529860477e-06
2,1.0746329521428019e-06
3,1.0657277818863676e-06
4,1.1150679880882505e-06
5,1.1154977642241163e-06
6,9.298766700434044e-07
7,9.25660007565846e-07
8,1.1112875527171517e-06
9,1.0515734425365518e-06
10,1.069839776098773e-06
11,1.066768981233161e-06
12,1.0751405750786667e-06
13,1.1131469910496646e-06
14,1.1108274224555061e-06
15,1.1154300511336785e-06
16,6.73233469348733e-07
17,1.0632100640599684e-06
18,1.1098932609809455e-06
19,9.41207167731938e-07
