resampling_id,train_rss,train_mse,train_nmse,outer_resampling_id
0,2.1375856424255784e-05,1.1875475791253212e-06,0.0026696874196158213,0
1,2.0621137313888004e-05,1.1456187396604447e-06,0.0025085983938988115,0
2,2.0454552231752044e-05,1.1363640128751135e-06,0.002486881698405594,0
3,2.1383775127780987e-05,1.1879875070989436e-06,0.002598270004426605,0
4,2.1383843237132235e-05,1.1879912909517909e-06,0.003206386916023991,0
5,1.7814642704724177e-05,9.897023724846764e-07,0.0022257755677797908,0
6,1.772138450886891e-05,9.845213616038283e-07,0.0021780863040896997,0
7,2.1315061641834346e-05,1.1841700912130191e-06,0.0025896887094300873,0
8,2.018603223224522e-05,1.1214462351247344e-06,0.0024569159338630533,0
9,2.0533033676806804e-05,1.1407240931559337e-06,0.002498031697906526,0
10,2.0474818018497267e-05,1.1374898899165148e-06,0.0024915994346845004,0
11,2.060494228871637e-05,1.1447190160397982e-06,0.0025440697313768904,0
12,2.13429279961173e-05,1.1857182220065168e-06,0.002696117567009187,0
13,2.129406807978446e-05,1.1830037822102479e-06,0.002720672982999293,0
14,2.138365982319571e-05,1.1879811012886505e-06,0.002799021519612942,0
15,1.2817101556529922e-05,7.120611975849957e-07,0.0019074252048679498,0
16,2.045408121103613e-05,1.1363378450575629e-06,0.0028126950907266532,0
17,2.1365598833002252e-05,1.1869777129445695e-06,0.0031499630069221603,0
18,1.8062299445546556e-05,1.003461080308142e-06,0.0025567027327540516,0
0,2.1375856424255784e-05,1.1875475791253212e-06,0.0026696874196158213,1
1,2.063759457868079e-05,1.1465330321489329e-06,0.0024103756237684446,1
2,2.0463299748302446e-05,1.1368499860168025e-06,0.0023902149851777357,1
3,2.1423575965057916e-05,1.1901986647254398e-06,0.0025004742714216663,1
4,2.14242368166386e-05,1.1902353787021444e-06,0.003040520450146263,1
5,1.789789733591166e-05,9.9432762977287e-07,0.0021416420017385763,1
6,1.7811732791898135e-05,9.895407106610075e-07,0.0020993712468609827,1
7,2.134693327145843e-05,1.185940737303246e-06,0.0024910817346244806,1
8,2.018917746445363e-05,1.1216209702474239e-06,0.0023610575460904157,1
9,2.0542167475804496e-05,1.141231526433583e-06,0.0024011646261614577,1
10,2.0482659442074384e-05,1.137925524559688e-06,0.0023948932074861545,1
11,2.0666221068446584e-05,1.1481233926914768e-06,0.002445994654808061,1
12,2.1379948049761545e-05,1.1877748916534192e-06,0.0025845943249984678,1
13,2.1339154949526415e-05,1.185508608307023e-06,0.0026071162124121994,1
14,2.1423848239398807e-05,1.1902137910777115e-06,0.002677314676049923,1
15,1.2876389247989037e-05,7.153549582216132e-07,0.001834143472738806,1
16,2.049370188861071e-05,1.1385389938117062e-06,0.0027034556676934123,1
17,2.1406354522372557e-05,1.1892419179095864e-06,0.0030216145312096975,1
18,1.8111375240586345e-05,1.006187513365908e-06,0.0024574174165679693,1
0,2.0621137313888004e-05,1.1456187396604447e-06,0.0025085983938988115,2
1,2.063759457868079e-05,1.1465330321489329e-06,0.0024103756237684446,2
2,1.9551915422322217e-05,1.0862175234623453e-06,0.0022366057510395158,2
3,2.064758817445409e-05,1.147088231914116e-06,0.0023596690791191847,2
4,2.065775202434139e-05,1.1476528902411882e-06,0.002838219287199885,2
5,1.733988121171515e-05,9.63326733984175e-07,0.002025894275082087,2
6,1.7291907810129987e-05,9.606615450072215e-07,0.001992209341717542,2
7,2.0535746732511125e-05,1.1408748184728403e-06,0.00234620346686482,2
8,1.9253927340212212e-05,1.0696626300117895e-06,0.0022055831563954327,2
9,1.96319784484161e-05,1.0906654693564499e-06,0.002247650359973198,2
10,1.956694261261125e-05,1.0870523673672915e-06,0.0022409292448149656,2
11,1.9994750913122958e-05,1.1108194951734977e-06,0.002312439496556505,2
12,2.0596453080791744e-05,1.1442473933773191e-06,0.0024295725670420046,2
13,2.0592638923806456e-05,1.1440354957670253e-06,0.002453489331406352,2
14,2.0655563238419772e-05,1.1475312910233206e-06,0.002514241762930189,2
15,1.2198606492043802e-05,6.777003606691001e-07,0.0017046883030256352,2
16,1.972368979148771e-05,1.0957605439715395e-06,0.0025529493809146988,2
17,2.064147721193293e-05,1.146748733996274e-06,0.0028585518170054025,2
18,1.7384918311950585e-05,9.658287951083659e-07,0.0023144572465019163,2
0,2.0454552231752044e-05,1.1363640128751135e-06,0.002486881698405594,3
1,2.0463299748302446e-05,1.1368499860168025e-06,0.0023902149851777357,3
2,1.9551915422322217e-05,1.0862175234623453e-06,0.0022366057510395158,3
3,2.047194108655657e-05,1.137330060364254e-06,0.0023423029378413437,3
4,2.048768134834609e-05,1.1382045193525605e-06,0.0028094863560865846,3
5,1.7232718874634625e-05,9.573732708130347e-07,0.002013524981247801,3
6,1.7195137754020685e-05,9.55285430778927e-07,0.0019819325449873973,3
7,2.0348557026421698e-05,1.130475390356761e-06,0.002327376401866142,3
8,1.9023471970103296e-05,1.0568595538946276e-06,0.0021821551295780383,3
