resampling_id,shift,coef,outer_resampling_id
0,-141.25561543657327,16.589166046196734,0
1,-136.7381792821538,16.058909063342735,0
2,-134.55871447233696,15.803083326180005,0
3,-135.15311396592338,15.87285398176984,0
4,-137.8918440517274,16.19432631751821,0
5,-141.29524206631626,16.59381742286481,0
6,-139.23465715521672,16.351945816820045,0
7,-135.47012702916948,15.910064998084419,0
8,-134.00394161165633,15.737964047629491,0
9,-134.20207477618513,15.761220932826102,0
10,-134.08319487746783,15.747266801708134,0
11,-139.9083099146049,16.431019226487386,0
12,-137.88416979832627,16.193425513091626,0
13,-137.89183719972723,16.194325513229934,0
14,-137.8918440463613,16.19432631688834,0
15,-148.56986911284574,17.446561934298725,0
16,-139.4041381869464,16.372331985324845,0
17,-138.57590281800674,16.2748430543852,0
18,-139.0376010849359,16.32918697729395,0
0,-141.25561543657327,16.589166046196734,1
1,-133.1780816907147,15.641024550323042,1
2,-130.99848162455888,15.385182936761447,1
3,-131.59291800623774,15.454957922278247,1
4,-134.63482885822336,15.812017638312632,1
5,-137.73542728358598,16.175966105951833,1
6,-135.67471449376592,15.934079489493598,1
7,-131.90995074313312,15.492171247887207,1
8,-130.44367433499193,15.32005961694577,1
9,-130.64181979555156,15.34331794545137,1
10,-130.52293251921577,15.32936294834801,1
11,-136.3484090596589,16.013157806411492,1
12,-134.62715409057034,15.811116773525338,1
13,-134.63482200583417,15.812016833978694,1
14,-134.63482885285697,15.812017637682727,1
15,-145.09136240926603,17.03827851977993,1
16,-136.12414744234025,15.98731892470136,1
17,-135.29567776210308,15.889802459644418,1
18,-135.75740231610322,15.94414946816917,1
0,-136.7381792821538,16.058909063342735,2
1,-133.1780816907147,15.641024550323042,2
2,-126.48076512063655,14.854893046462507,2
3,-127.07520150231541,14.924668031979307,2
4,-130.50163701980102,15.326863281088468,2
5,-133.21771077966366,15.645676215652895,2
6,-131.1569979898436,15.403789599194658,2
7,-127.39223423921081,14.961881357588267,2
8,-125.92595783106961,14.78976972664683,2
9,-126.12410329162924,14.81302805515243,2
10,-126.00521601529346,14.79907305804907,2
11,-131.8306925557366,15.482867916112554,2
12,-130.49396189877703,15.32596237482246,2
13,-130.50163016741186,15.32686247675453,2
14,-130.50163701443466,15.326863280458562,2
15,-140.6762740077894,16.520065527377316,2
16,-131.96168912491774,15.49871973608181,2
17,-131.1329823633079,15.401175403654152,2
18,-131.5947066803772,15.455522384329202,2
0,-134.55871447233696,15.803083326180005,3
1,-130.99848162455888,15.385182936761447,3
2,-126.48076512063655,14.854893046462507,3
3,-124.89560143615958,14.66882641841771,3
4,-128.50755323950216,15.092797582591562,3
5,-131.03811071350785,15.3898346020913,3
6,-128.9773979236878,15.147947985633063,3
7,-125.21263417305498,14.70603974402667,3
8,-123.74635776491378,14.533928113085233,3
9,-123.9445032254734,14.557186441590833,3
10,-123.82561594913761,14.543231444487473,3
11,-129.65109248958075,15.227026302550959,3
12,-128.49987794799216,15.091896656313892,3
13,-128.507546387113,15.092796778257624,3
14,-128.5075532341358,15.092797581961657,3
15,-138.54618749979642,16.270050487358112,3
16,-129.95348555212865,15.26299205752689,3
17,-129.1246644091549,15.165434280315123,3
18,-129.58638861191542,15.219781247553913,3
0,-135.15311396592338,15.87285398176984,4
1,-131.59291800623774,15.454957922278247,4
2,-127.07520150231541,14.924668031979307,4
3,-124.89560143615958,14.66882641841771,4
4,-129.05139427049278,15.156633682181626,4
5,-131.6325470951867,15.4596095876081,4
6,-129.57183430536665,15.217722971149863,4
7,-125.80707055473384,14.77581472954347,4
8,-124.34079414659264,14.603703098602033,4
9,-124.53893960715226,14.626961427107632,4
10,-124.42005233081649,14.613006430004273,4
11,-130.2455288712596,15.296801288067758,4
12,-129.04371902547894,15.155732761361683,4
13,-129.05138741810362,15.156632877847688,4
14,-129.05139426512642,15.156633681551721,4
15,-139.1271201837945,16.33823640736335,4
16,-130.50117743561657,15.327281424405506,4
17,-129.67238748756026,15.22972731395304,4
18,-130.1341117214959,15.284074284856265,4
0,-137.8918440517274,16.19432631751821,5
1,-134.63482885822336,15.812017638312632,5
2,-130.50163701980102,15.326863281088468,5
3,-128.50755323950216,15.092797582591562,5
4,-129.05139427049278,15.156633682181626,5
5,-134.6710849240623,15.816273377945633,5
6,-132.78576934996156,15.59497489936674,5
7,-129.34144282035442,15.190679601962994,5
8,-127.99996827724428,15.033217222974166,5
9,-128.1812486209078,15.05449592283752,5
10,-128.07248041470967,15.041728702919507,5
11,-133.40212251840865,15.667322478901102,5
12,-132.0469825117621,15.508256046802748,5
13,-132.05404934677566,15.509085552400668,5
14,-132.05405565672797,15.509086293063326,5
15,-141.47855213167563,16.61423146687999,5
16,-133.40863892249652,15.668566120874422,5
17,-132.64561995755082,15.578732391057114,5
18,-133.0707885879033,15.628788378549729,5
0,-141.29524206631626,16.59381742286481,6
1,-137.73542728358598,16.175966105951833,6
2,-133.21771077966366,15.645676215652895,6
3,-131.03811071350785,15.3898346020913,6
4,-131.6325470951867,15.4596095876081,6
5,-134.6710849240623,15.816273377945633,6
6,-135.7143435827149,15.938731154823449,6
7,-131.9495798320821,15.496822913217056,6
8,-130.4833034239409,15.324711282275619,6
9,-130.68144888450053,15.34796961078122,6
10,-130.56256160816474,15.33401461367786,6
11,-136.38803814860788,16.017809471741344,6
12,-134.66341015950903,15.815372513522192,6
13,-134.6710780716731,15.816272573611695,6
14,-134.67108491869593,15.81627337731573,6
15,-145.1300912517748,17.042824247417467,6
16,-136.16066023165854,15.991604882151186,6
17,-135.33219263108236,15.894088661544847,6
18,-135.79391718716087,15.948435670313895,6
0,-139.23465715521672,16.351945816820045,7
1,-135.67471449376592,15.934079489493598,7
2,-131.1569979898436,15.403789599194658,7
3,-128.9773979236878,15.147947985633063,7
4,-129.57183430536665,15.217722971149863,7
5,-132.78576934996156,15.59497489936674,7
6,-135.7143435827149,15.938731154823449,7
7,-129.88886704226204,15.254936296758821,7
8,-128.42259063412084,15.082824665817384,7
9,-128.62073609468047,15.106082994322984,7
10,-128.50184881834468,15.092127997219624,7
11,-134.32732535878782,15.77592285528311,7
12,-132.7780944242215,15.594074016023184,7
13,-132.78576249757236,15.594974095032802,7
14,-132.78576934459517,15.594974898736837,7
15,-143.1161912805814,16.806446391399312,7
16,-134.26199503556705,15.76873507697199,7
17,-133.4334192926104,15.671206144933402,7
18,-133.8951437406152,15.725553140999077,7
0,-135.47012702916948,15.910064998084419,8
1,-131.90995074313312,15.492171247887207,8
2,-127.39223423921081,14.961881357588267,8
3,-125.21263417305498,14.70603974402667,8
4,-125.80707055473384,14.77581472954347,8
5,-129.34144282035442,15.190679601962994,8
6,-131.9495798320821,15.496822913217056,8
7,-129.88886704226204,15.254936296758821,8
8,-124.65782688348803,14.640916424210992,8
9,-124.85597234404766,14.664174752716592,8
10,-124.73708506771189,14.65021975561323,8
11,-130.562561608155,15.334014613676716,8
12,-129.33376760013854,15.18977868405384,8
13,-129.34143596796525,15.190678797629054,8
14,-129.34144281498806,15.190679601333088,8
15,-139.43695094859348,16.374602231366143,8
16,-130.79327977347683,15.361569086740765,8
17,-129.96450646270978,15.264016931893261,8
18,-130.42623071327216,15.31836390475085,8
0,-134.00394161165633,15.737964047629491,9
1,-130.44367433499193,15.32005961694577,9
2,-125.92595783106961,14.78976972664683,9
3,-123.74635776491378,14.533928113085233,9
4,-124.34079414659264,14.603703098602033,9
5,-127.99996827724428,15.033217222974166,9
6,-130.4833034239409,15.324711282275619,9
7,-128.42259063412084,15.082824665817384,9
8,-124.65782688348803,14.640916424210992,9
9,-123.38969593590646,14.492063121775155,9
10,-123.27080865957069,14.478108124671794,9
11,-129.0962852000138,15.16190298273528,9
12,-127.99229294233783,15.032316291602625,9
13,-127.99996142485509,15.033216418640226,9
14,-127.99996827187789,15.033217222344259,9
15,-138.0039836613982,16.206410295353226,9
16,-129.44230646087325,15.202988648440183,9
17,-128.61345620264322,15.105427448919736,9
18,-129.07518037630697,15.159774412738383,9
0,-134.20207477618513,15.761220932826102,10
1,-130.64181979555156,15.34331794545137,10
2,-126.12410329162924,14.81302805515243,10
3,-123.9445032254734,14.557186441590833,10
4,-124.53893960715226,14.626961427107632,10
5,-128.1812486209078,15.05449592283752,10
6,-130.68144888450053,15.34796961078122,10
7,-128.62073609468047,15.106082994322984,10
8,-124.85597234404766,14.664174752716592,10
