,n_fam,nt_norm,steady
0,1,2.2028011212592595,6.3249926986729115
1,3,2.9640326860590287,5.569764135874643
2,8,3.8080551690122,4.740749157925225
3,18,4.579434698853618,3.9993846380913136
4,38,5.332880757162831,3.305968599797111
