outer_resampling_id,train_mse
0,7.77564052914397e-06
1,8.437592781559737e-06
2,8.541942791797943e-06
3,8.298871553280954e-06
4,8.3841039271543e-06
5,8.60111775590823e-06
6,8.433047222246416e-06
7,8.585700547528602e-06
8,8.423752859652773e-06
9,8.206505123598218e-06
10,8.240913650614665e-06
11,8.220457936641765e-06
12,8.554577035314787e-06
13,7.286965713321298e-06
14,7.556644070872019e-06
15,7.96064991947283e-06
16,5.744466241004654e-06
17,8.010106687212248e-06
18,8.468683601551851e-06
19,8.261031763628536e-06
