outer_resampling_id,train_mse
0,1.0186429697218694e-06
1,1.0183089401371328e-06
2,9.940888265719012e-07
3,1.0061565864421208e-06
4,9.602254740970018e-07
5,1.018698700275455e-06
6,8.847769372711396e-07
7,1.0158788009207873e-06
8,9.973352266971173e-07
9,9.803413304921615e-07
10,1.0115623792506461e-06
11,1.0181537708928444e-06
12,8.216535950368923e-07
13,1.0160179517387092e-06
14,1.0148070164839083e-06
15,1.0125695620297584e-06
16,5.237723545143575e-07
17,9.65423846998189e-07
18,1.0112468740618725e-06
19,8.273198129995766e-07
