resampling_id,train_rss,train_mse,train_nmse,outer_resampling_id
0,1.9587427641011887e-05,1.0881904245006604e-06,0.0024463258041210966,0
1,1.9123818347905814e-05,1.0624343526614341e-06,0.002326446852204386,0
2,1.935573148862537e-05,1.0753184160347427e-06,0.002353286146425325,0
3,1.848156809772084e-05,1.0267537832067133e-06,0.0022456326694480547,0
4,1.959327556913228e-05,1.0885153093962378e-06,0.002937901373960103,0
5,1.7042950742621496e-05,9.468305968123053e-07,0.0021293597628956034,0
6,1.954128798883861e-05,1.0856271104910338e-06,0.00240176560197432,0
7,1.918596494425054e-05,1.0658869413472524e-06,0.0023310125783605855,0
8,1.8859059227082077e-05,1.047725512615671e-06,0.0022954051880819427,0
9,1.9460215173250315e-05,1.081123065180573e-06,0.0023675134963505673,0
10,1.958869119598113e-05,1.0882606219989517e-06,0.0023837658467109543,0
11,1.58364981766468e-05,8.798054542581556e-07,0.0019553151422450478,0
12,1.954439589294467e-05,1.0857997718302593e-06,0.002468920342754115,0
13,1.9519641016483126e-05,1.0844245009157293e-06,0.0024939602781587447,0
14,1.9478181206341648e-05,1.0821211781300915e-06,0.0025496032395881454,0
15,1.0020953407355265e-05,5.567196337419592e-07,0.0014913058948385007,0
16,1.8653538883870245e-05,1.0363077157705692e-06,0.002565097728028567,0
17,1.9548998910552785e-05,1.0860554950307103e-06,0.0028821388940190066,0
18,1.595369773426437e-05,8.863165407924649e-07,0.0022582319996240978,0
0,1.9587427641011887e-05,1.0881904245006604e-06,0.0024463258041210966,1
1,1.911283420985253e-05,1.061824122769585e-06,0.0022322906627958872,1
2,1.9345595510185467e-05,1.074755306121415e-06,0.0022596615821682585,1
3,1.848237261319808e-05,1.0267984785110044e-06,0.0021571887564198855,1
4,1.958790111951487e-05,1.0882167288619373e-06,0.00277990830847585,1
5,1.703070841085317e-05,9.461504672696206e-07,0.00203787516307081,1
6,1.9534487296933375e-05,1.0852492942740764e-06,0.002302422871064345,1
7,1.9174726882819943e-05,1.065262604601108e-06,0.002237595972067345,1
8,1.884449863505627e-05,1.0469165908364596e-06,0.0022038018033635745,1
9,1.9451237432492135e-05,1.0806243018051186e-06,0.0022736463088902257,1
10,1.9582661084696344e-05,1.0879256158164636e-06,0.002289662733927342,1
11,1.583755922707929e-05,8.79864401504405e-07,0.0018744880878966564,1
12,1.9539995476154437e-05,1.085555304230802e-06,0.0023621648331707593,1
13,1.9513227327726523e-05,1.0840681848736958e-06,0.00238403308110988,1
14,1.9473891718362587e-05,1.081882873242366e-06,0.002433630761139218,1
15,1.0020149783293626e-05,5.56674987960757e-07,0.0014272939383036592,1
16,1.864796516215537e-05,1.0359980645641871e-06,0.0024599726971043516,1
17,1.9543784911056634e-05,1.0857658283920352e-06,0.0027587034691201767,1
18,1.595063308445679e-05,8.861462824698217e-07,0.0021642400439692067,1
0,1.9123818347905814e-05,1.0624343526614341e-06,0.002326446852204386,2
1,1.911283420985253e-05,1.061824122769585e-06,0.0022322906627958872,2
2,1.882094857131388e-05,1.0456082539618821e-06,0.002152988129570165,2
3,1.8150461386619547e-05,1.0083589659233081e-06,0.002074289846537258,2
4,1.9125708359030508e-05,1.0625393532794727e-06,0.0026277280452392834,2
5,1.6487069849887708e-05,9.159483249937616e-07,0.001926256588147767,2
6,1.9051387560076372e-05,1.0584104200042428e-06,0.002194919883139268,2
7,1.8638800661575712e-05,1.0354889256430952e-06,0.002129477895301441,2
8,1.8274430851054434e-05,1.015246158391913e-06,0.0020933795046384793,2
9,1.8939357929789712e-05,1.052186551654984e-06,0.002168352760798163,2
10,1.9107101525776916e-05,1.0615056403209398e-06,0.002188265353482735,2
11,1.5563860258277204e-05,8.646589032376224e-07,0.0017999966759528398,2
12,1.9090797205675868e-05,1.0605998447597705e-06,0.002251964306277985,2
13,1.9036288077893048e-05,1.057571559882947e-06,0.0022680594692841465,2
14,1.9026876324488957e-05,1.057048684693831e-06,0.0023159943169285173,2
15,9.638124630950715e-06,5.354513683861509e-07,0.0013468750166013598,2
16,1.818300823131909e-05,1.0101671239621718e-06,0.002353530201400089,2
17,1.908381270884544e-05,1.0602118171580799e-06,0.002642837377100323,2
18,1.5523691997256765e-05,8.624273331809314e-07,0.00206667185837835,2
0,1.935573148862537e-05,1.0753184160347427e-06,0.002353286146425325,3
1,1.9345595510185467e-05,1.074755306121415e-06,0.0022596615821682585,3
2,1.882094857131388e-05,1.0456082539618821e-06,0.002152988129570165,3
3,1.835709454406947e-05,1.0198385857816372e-06,0.0021003321716786733,3
4,1.935735518873455e-05,1.0754086215963639e-06,0.0026544841443007826,3
5,1.6728655332880812e-05,9.293697407156007e-07,0.0019546286143517174,3
6,1.9286185013535506e-05,1.0714547229741947e-06,0.002222949201906594,3
7,1.8879855888925583e-05,1.048880882718088e-06,0.002159392973637594,3
8,1.851856568397913e-05,1.0288092046655072e-06,0.0021242380551368648,3
9,1.9177939541248546e-05,1.0654410856249192e-06,0.0021985827778698195,3
10,1.9341158555864778e-05,1.0745088086591543e-06,0.0022180593704086097,3
11,1.575402758408914e-05,8.752237546716189e-07,0.0018225760698106915,3
12,1.9320594095173943e-05,1.0733663386207746e-06,0.0022788166906600217,3
13,1.927012517775084e-05,1.0705625098750467e-06,0.0022952763458738835,3
14,1.9256265156063417e-05,1.0697925086701899e-06,0.002342530747010268,3
15,9.85557368231017e-06,5.475318712394538e-07,0.0013835896761125713,3
16,1.841506229023704e-05,1.02305901612428e-06,0.0023922422619684185,3
17,1.9315132410429325e-05,1.073062911690518e-06,0.0026868667037288035,3
18,1.5749686847788268e-05,8.749826026549037e-07,0.0021051421980185043,3
0,1.848156809772084e-05,1.0267537832067133e-06,0.0022456326694480547,4
1,1.848237261319808e-05,1.0267984785110044e-06,0.0021571887564198855,4
2,1.8150461386619547e-05,1.0083589659233081e-06,0.002074289846537258,4
3,1.835709454406947e-05,1.0198385857816372e-06,0.0021003321716786733,4
4,1.8482346112871545e-05,1.0267970062706414e-06,0.002533610631647468,4
5,1.61055111520408e-05,8.947506195578223e-07,0.0018803885425108724,4
6,1.8464731451525584e-05,1.0258184139736436e-06,0.002126459862302159,4
7,1.821544430720577e-05,1.0119691281780985e-06,0.002081268070079925,4
8,1.795459282812063e-05,9.97477379340035e-07,0.0020572859512565864,4
9,1.8431736165330725e-05,1.0239853425183736e-06,0.0021107403237802056,4
10,1.8475942767895057e-05,1.0264412648830587e-06,0.0021165197460618454,4
