exp_id,id_in_exp,yres,ypred,w
0,0,1.1829347311289709e-07,0.014556061817890341,0.2
0,1,5.26853552055757e-07,0.023174153217231243,0.2
0,2,1.1295023698524045e-05,0.03193919299891766,0.2
0,3,6.908882158878633e-06,0.03817152474638268,0.2
0,4,1.1732363076785414e-05,0.04272525372443932,0.2
1,0,6.088763289919671e-10,-2.4675419530211986e-05,0.14285714285714285
1,1,4.903267789938152e-05,0.016797666253356564,0.14285714285714285
1,2,2.0312603106229285e-06,0.02757477710142486,0.14285714285714285
1,3,1.0273802576103642e-05,0.03529472269903154,0.14285714285714285
1,4,1.6912703289851513e-05,0.038087494280873095,0.14285714285714285
1,5,4.638746106694663e-06,0.03954622514948877,0.14285714285714285
1,6,9.807630311971584e-07,0.04100966519237323,0.14285714285714285
2,0,5.273904188102509e-05,0.034562165095963125,0.25
2,1,2.9269536978639804e-07,0.02174101328060076,0.25
2,2,2.0891311159949884e-06,0.017454617311576277,0.25
2,3,1.3149919221307444e-06,0.015946730971994193,0.25
3,0,0.00012533200052015618,0.06510482244356276,0.25
3,1,1.2792329585864298e-05,0.07217663663039234,0.25
3,2,5.141643119682513e-07,0.076217052516883,0.25
3,3,4.763054226179638e-05,0.07860148840916192,0.25
