resampling_id,coef,shift
0,0.032278577887518756,0.02135283559518607
1,0.032321682949982486,0.02133024673303844
2,0.03267758962348603,0.02114373669626584
3,0.032664535664156336,0.02115057751891927
4,0.03162620344380089,0.02169470718834718
5,0.03212677305425958,0.021432387700109287
6,0.032417840790560905,0.021279855988167853
7,0.032218776449835784,0.021384174058810566
8,0.03241198583798865,0.02128292422908843
9,0.032530557836468556,0.021220787524600743
10,0.032337951776119214,0.021321721185228015
11,0.03221603664363451,0.02138560983226858
12,0.03125385326755277,0.021889834310805108
13,0.032591378013278084,0.021188915198910436
14,0.03277335356017132,0.02109355237357011
15,0.03255117613684403,0.021209982669711778
16,0.028102594895677145,0.021570111572063892
17,0.03370055702511243,0.021233105552174003
18,0.032705360143967084,0.021252394138240142
19,0.03452275394299987,0.021384825072598417
