outer_resampling_id,train_mse
0,1.3147746712146242e-05
1,1.2315245740896502e-05
2,1.086428866436221e-05
3,1.05529404754497e-05
4,1.2048658283576635e-05
5,1.366233291957298e-05
6,1.3047295146313682e-05
7,1.3364473582629248e-05
8,1.3340385577247921e-05
9,1.3598690795841093e-05
10,1.3511281522192258e-05
11,1.1885720599503725e-05
12,1.2511374042234993e-05
13,1.351077120292549e-05
14,1.3649375200851668e-05
15,1.3162893438621871e-05
16,1.3603457973663702e-05
17,1.3593146446103518e-05
18,1.3641779990667602e-05
19,1.364709023933754e-05
