,n_fam,nt_norm,steady
0,1,1.1102788828777594,5.149302581187164
1,3,1.7186133947530786,4.555206563300959
2,8,2.4742128429319945,3.8343408683327254
3,18,3.195821853521893,3.1787769812092397
4,38,3.9023144559843934,2.5925733851228174
