resampling_id,shift,coef
0,-1.3331846459189198,0.4983540025637438
1,-1.300369076439623,0.48672432099821117
2,-1.258247323761788,0.47179657242038353
3,-1.2379254148379828,0.46459458466464165
4,-1.2434677536353842,0.4665587631434803
5,-1.273954818128189,0.4773632336294435
6,-1.3007385878751991,0.48685527409148033
7,-1.2815251467108741,0.4800461220315061
8,-1.246423667660665,0.467606324998861
9,-1.2327525652937412,0.46276135141772545
10,-1.2346000115595417,0.4634160775773384
11,-1.2334915438000615,0.4630232418815706
12,-1.2878064640145972,0.4822721909741905
13,-1.2733701489569218,0.4771560296591636
14,-1.2739505971771194,0.4773617377444828
15,-1.273954791683094,0.47736322425742594
16,-1.3789037771909514,0.5112318130429608
17,-1.2832960204802315,0.48209979209876613
18,-1.2783206078999128,0.4795466017475315
19,-1.2814263287576566,0.48109940224638453
