,time_step,stimulus,type,familiarity,novelty,n_im
0,0,0,fam,0.015873015873015872,4.143134726391533,3
1,1,1,fam,0.015625,4.1588830833596715,3
2,2,2,fam,0.015455950540958269,4.169761201506855,3
3,3,0,fam,0.02285626629851204,3.7785299629790803,3
4,4,1,fam,0.022736636503746202,3.783777712604663,3
5,5,2,fam,0.022653638037434757,3.7874348201967716,3
6,6,0,fam,0.025144685785830005,3.6831087055257665,3
7,7,1,fam,0.025099903769094024,3.6848912667523845,3
8,8,2,fam,0.025068651148346045,3.6861371716759823,3
9,9,0,fam,0.02591765194678509,3.652831000074244,3
10,10,1,fam,0.025901862638685557,3.65344039631095,3
11,11,2,fam,0.025890821564762936,3.653866752822866,3
12,12,0,fam,0.02618139534881134,3.6427062216467614,3
13,13,1,fam,0.026175929609076914,3.642915007705204,3
14,14,2,fam,0.026172104948915264,3.6430611320134325,3
15,15,0,fam,0.026271697434527036,3.6392630624301177,3
16,16,1,fam,0.026269816821477256,3.6393346482257387,3
17,17,2,fam,0.02626850055253262,3.6393847552337553,3
18,18,0,fam,0.026302652039484967,3.6380855068789972,3
19,19,1,fam,0.02630200630004053,3.6381100575353402,3
20,20,2,fam,0.026301554301294328,3.6381272426361604,3
21,21,0,fam,0.026313267233918868,3.637682009430905,3
22,22,1,fam,0.02631304566424022,3.6376904299212054,3
23,23,2,fam,0.026312890567685366,3.6376963242222273,3
24,24,0,fam,0.026316907982716537,3.637543657286399,3
25,25,1,fam,0.026316831974782646,3.6375465454693003,3
26,26,2,fam,0.026316778769490158,3.637548567192368,3
27,27,0,fam,0.02631815672862745,3.637496208084313,3
28,28,1,fam,0.0263181306567845,3.637497198725722,3
29,29,2,fam,0.026318112406525165,3.6374978921741246,3
30,30,0,fam,0.0263185850448365,3.6374799336647867,3
31,31,1,fam,0.02631857610206241,3.6374802734541634,3
32,32,2,fam,0.026318569842124166,3.6374805113066584,3
33,33,0,fam,0.026318731956868152,3.637474351616156,3
34,34,1,fam,0.026318728889481117,3.637474468163838,3
35,35,2,fam,0.026318726742310613,3.637474549747208,3
36,36,0,fam,0.02631878234764465,3.6374724369825655,3
37,37,1,fam,0.026318781295529066,3.637472476958412,3
38,38,2,fam,0.026318780559048214,3.6374725049415035,3
39,39,0,fam,0.026318799631675063,3.6374717802643133,3
40,40,1,fam,0.026318799270799203,3.6374717939760277,3
41,41,2,fam,0.026318799018186106,3.6374718035742277,3
42,42,0,fam,0.0263188055600968,3.637471555010079,3
43,43,1,fam,0.026318805436316352,3.637471559713197,3
44,44,2,fam,0.026318805349670044,3.6374715630053793,3
45,45,0,fam,0.026318807593545372,3.637471477747891,3
46,46,1,fam,0.02631880755108867,3.6374714793610607,3
47,47,2,fam,0.026318807521368986,3.6374714804902792,3
48,48,0,fam,0.026318808291018226,3.6374714512469626,3
49,49,1,fam,0.026318808276455576,3.6374714518002795,3
50,50,2,fam,0.026318808266261724,3.6374714521876017,3
51,51,0,fam,0.026318808530251408,3.6374714421571444,3
52,52,1,fam,0.02631880852525642,3.637471442346932,3
53,53,3,nov,0.015075376889095275,4.1946925357463964,3
54,54,0,fam,0.02631880861230839,3.6374714390393366,3
55,55,1,fam,0.026318808610595112,3.637471439104434,3
56,56,2,fam,0.01893187393524356,3.9669083257790483,3
57,57,0,fam,0.026318808640453936,3.6374714379699284,3
58,58,1,fam,0.02631880863986628,3.637471437992257,3
59,59,2,fam,0.023785090046397697,3.7386963632569317,3
0,0,0,fam,0.015873015873015872,4.143134726391533,6
1,1,1,fam,0.015625,4.1588830833596715,6
2,2,2,fam,0.015455950540958269,4.169761201506855,6
3,3,3,fam,0.015339776039269826,4.177306082936448,6
4,4,4,fam,0.015259487586406849,4.18255383256203,6
5,5,5,fam,0.015203783917741447,4.186210940154139,6
6,6,0,fam,0.017713819757823525,4.033410166772203,6
7,7,1,fam,0.017682271915881512,4.035192727998821,6
8,8,2,fam,0.01766025520445371,4.036438632922419,6
9,9,3,fam,0.017644876100287168,4.037309843682494,6
10,10,4,fam,0.017634126654862962,4.0379192399192005,6
11,11,5,fam,0.017626609832668623,4.038345596431117,6
12,12,0,fam,0.017919648805761888,4.021857469520145,6
13,13,1,fam,0.017915907823465117,4.022066255578588,6
14,14,2,fam,0.01791329006509185,4.022212379886817,6
15,15,3,fam,0.017911458089347333,4.022314654199436,6
16,16,4,fam,0.01791017592926204,4.022386239995057,6
