,time_step,stimulus,type,familiarity,novelty,n_fam,steady
0,0,0,fam,0.015873015873015872,4.143134726391533,1,3.353456467821277
1,1,1,fam,0.015463917525773196,4.169245870395218,1,3.353456467821277
2,2,2,fam,0.015151515151515154,4.189654742026425,1,3.353456467821277
3,3,0,fam,0.03081510934393639,3.479750146174538,1,3.353456467821277
4,4,1,fam,0.030427954456223018,3.4923935386201554,1,3.353456467821277
5,5,2,fam,0.030125165202518858,3.5023944032853134,1,3.353456467821277
6,6,0,fam,0.037785182100050906,3.2758382611469528,1,3.353456467821277
7,7,1,fam,0.03754794087981287,3.282136739031565,1,3.353456467821277
8,8,3,nov,0.014298944486235494,4.24756955659189,1,3.353456467821277
9,9,0,fam,0.04119385248695875,3.189466245241381,1,3.353456467821277
10,10,1,fam,0.041063030529198484,3.1926470627794075,1,3.353456467821277
11,11,2,fam,0.02585412198219704,3.6552852330145065,1,3.353456467821277
12,12,0,fam,0.04289933658250837,3.148898917444933,1,3.353456467821277
13,13,1,fam,0.042830012385018226,3.1505161981880017,1,3.353456467821277
14,14,2,fam,0.035079100037303426,3.3501497663880992,1,3.353456467821277
0,0,0,fam,0.015873015873015872,4.143134726391533,3,3.164866522597769
1,1,1,fam,0.015463917525773196,4.169245870395218,3,3.164866522597769
2,2,2,fam,0.015151515151515154,4.189654742026425,3,3.164866522597769
3,3,0,fam,0.03081510934393639,3.479750146174538,3,3.164866522597769
4,4,1,fam,0.030427954456223018,3.4923935386201554,3,3.164866522597769
5,5,2,fam,0.030125165202518858,3.5023944032853134,3,3.164866522597769
6,6,0,fam,0.037785182100050906,3.2758382611469528,3,3.164866522597769
7,7,1,fam,0.03754794087981287,3.282136739031565,3,3.164866522597769
8,8,2,fam,0.0373602821536361,3.2871471133578267,3,3.164866522597769
9,9,0,fam,0.04119385248695875,3.189466245241381,3,3.164866522597769
10,10,1,fam,0.041063030529198484,3.1926470627794075,3,3.164866522597769
11,11,2,fam,0.04095896970882538,3.195184452160372,3,3.164866522597769
12,12,0,fam,0.04289933658250837,3.148898917444933,3,3.164866522597769
13,13,1,fam,0.042830012385018226,3.1505161981880017,3,3.164866522597769
14,14,3,nov,0.014091090269154094,4.262212577132987,3,3.164866522597769
15,15,0,fam,0.04376240032508719,3.128980270336916,3,3.164866522597769
16,16,1,fam,0.04372630611046925,3.1298053875008627,3,3.164866522597769
17,17,2,fam,0.02870476261650998,3.5506922251577495,3,3.164866522597769
18,18,0,fam,0.04420166591801504,3.118992800155923,3,3.164866522597769
19,19,1,fam,0.04418303018739491,3.1194144960312826,3,3.164866522597769
20,20,2,fam,0.03650173249498449,3.3103955539041343,3,3.164866522597769
0,0,0,fam,0.015873015873015872,4.143134726391533,8,3.11056410584107
1,1,1,fam,0.015463917525773196,4.169245870395218,8,3.11056410584107
2,2,2,fam,0.015151515151515154,4.189654742026425,8,3.11056410584107
3,3,0,fam,0.03081510934393639,3.479750146174538,8,3.11056410584107
4,4,1,fam,0.030427954456223018,3.4923935386201554,8,3.11056410584107
5,5,2,fam,0.030125165202518858,3.5023944032853134,8,3.11056410584107
6,6,0,fam,0.037785182100050906,3.2758382611469528,8,3.11056410584107
7,7,1,fam,0.03754794087981287,3.282136739031565,8,3.11056410584107
8,8,2,fam,0.0373602821536361,3.2871471133578267,8,3.11056410584107
9,9,0,fam,0.04119385248695875,3.189466245241381,8,3.11056410584107
10,10,1,fam,0.041063030529198484,3.1926470627794075,8,3.11056410584107
11,11,2,fam,0.04095896970882538,3.195184452160372,8,3.11056410584107
12,12,0,fam,0.04289933658250837,3.148898917444933,8,3.11056410584107
13,13,1,fam,0.042830012385018226,3.1505161981880017,8,3.11056410584107
14,14,2,fam,0.04277471413629746,3.151808142188281,8,3.11056410584107
15,15,0,fam,0.04376240032508719,3.128980270336916,8,3.11056410584107
16,16,1,fam,0.04372630611046925,3.1298053875008627,8,3.11056410584107
17,17,2,fam,0.043697473578836625,3.1304649913930866,8,3.11056410584107
18,18,0,fam,0.04420166591801504,3.118992800155923,8,3.11056410584107
19,19,1,fam,0.04418303018739491,3.1194144960312826,8,3.11056410584107
20,20,2,fam,0.044168132913097784,3.11975172474261,8,3.11056410584107
21,21,0,fam,0.04442588707094801,3.11393293730852,8,3.11056410584107
22,22,1,fam,0.04441630506164265,3.1141486458387235,8,3.11056410584107
23,23,2,fam,0.0444086424297304,3.114321179167426,8,3.11056410584107
24,24,0,fam,0.044540509938641795,3.1113561682143733,8,3.11056410584107
25,25,1,fam,0.04453559336194152,3.1114665586900023,8,3.11056410584107
26,26,2,fam,0.04453166088201941,3.111554862297384,8,3.11056410584107
27,27,0,fam,0.04459915017542955,3.1100404745002215,8,3.11056410584107
28,28,1,fam,0.04459663011699802,3.1100969807256043,8,3.11056410584107
29,29,3,nov,0.014021226261300927,4.267182936057826,8,3.11056410584107
30,30,0,fam,0.04462916175343372,3.109367782649684,8,3.11056410584107
31,31,1,fam,0.04462787075766373,3.1093967102475157,8,3.11056410584107
