,subID,epi,it,simID
0,0,0,370,0
1,1,0,226,0
2,2,0,120,0
3,3,0,490,0
4,4,0,1044,0
5,5,0,168,0
6,6,0,938,0
7,7,0,192,0
8,8,0,494,0
9,9,0,574,0
10,10,0,852,0
11,11,0,90,0
12,12,0,230,0
13,13,0,66,0
14,14,0,94,0
15,15,0,180,0
16,16,0,506,0
17,17,0,394,0
18,18,0,388,0
19,19,0,222,0
0,0,0,64,1
1,1,0,122,1
2,2,0,526,1
3,3,0,656,1
4,4,0,468,1
5,5,0,424,1
6,6,0,362,1
7,7,0,116,1
8,8,0,770,1
9,9,0,428,1
10,10,0,708,1
11,11,0,202,1
12,12,0,182,1
13,13,0,104,1
14,14,0,832,1
15,15,0,568,1
16,16,0,728,1
17,17,0,170,1
18,18,0,202,1
19,19,0,46,1
0,0,0,390,2
1,1,0,168,2
2,2,0,98,2
3,3,0,582,2
4,4,0,384,2
5,5,0,360,2
6,6,0,146,2
7,7,0,64,2
8,8,0,616,2
9,9,0,18,2
10,10,0,312,2
11,11,0,134,2
12,12,0,66,2
13,13,0,640,2
14,14,0,1320,2
15,15,0,238,2
16,16,0,208,2
17,17,0,430,2
18,18,0,82,2
19,19,0,632,2
0,0,0,188,3
1,1,0,162,3
2,2,0,634,3
3,3,0,560,3
4,4,0,558,3
5,5,0,86,3
6,6,0,180,3
7,7,0,366,3
8,8,0,224,3
9,9,0,1250,3
10,10,0,126,3
11,11,0,556,3
12,12,0,244,3
13,13,0,286,3
14,14,0,58,3
15,15,0,68,3
16,16,0,470,3
17,17,0,300,3
18,18,0,164,3
19,19,0,104,3
0,0,0,398,4
1,1,0,266,4
2,2,0,830,4
3,3,0,178,4
4,4,0,388,4
5,5,0,644,4
6,6,0,216,4
7,7,0,482,4
8,8,0,1020,4
9,9,0,634,4
10,10,0,310,4
11,11,0,136,4
12,12,0,110,4
13,13,0,958,4
14,14,0,334,4
15,15,0,160,4
16,16,0,304,4
17,17,0,686,4
18,18,0,524,4
19,19,0,782,4
0,0,0,514,5
1,1,0,570,5
2,2,0,60,5
3,3,0,66,5
4,4,0,380,5
5,5,0,140,5
6,6,0,718,5
7,7,0,126,5
8,8,0,96,5
9,9,0,630,5
10,10,0,136,5
11,11,0,762,5
12,12,0,392,5
13,13,0,20,5
14,14,0,62,5
15,15,0,202,5
16,16,0,444,5
17,17,0,398,5
18,18,0,200,5
19,19,0,158,5
0,0,0,840,6
1,1,0,420,6
2,2,0,322,6
3,3,0,62,6
4,4,0,986,6
5,5,0,98,6
6,6,0,136,6
7,7,0,340,6
8,8,0,138,6
9,9,0,314,6
10,10,0,376,6
11,11,0,352,6
12,12,0,1364,6
13,13,0,606,6
14,14,0,474,6
15,15,0,42,6
16,16,0,626,6
17,17,0,212,6
18,18,0,762,6
19,19,0,90,6
0,0,0,606,7
1,1,0,168,7
2,2,0,376,7
3,3,0,128,7
4,4,0,682,7
5,5,0,270,7
6,6,0,178,7
7,7,0,672,7
8,8,0,1522,7
9,9,0,370,7
10,10,0,50,7
11,11,0,136,7
12,12,0,190,7
13,13,0,56,7
14,14,0,318,7
15,15,0,226,7
16,16,0,294,7
17,17,0,154,7
18,18,0,280,7
19,19,0,560,7
0,0,0,34,8
1,1,0,376,8
2,2,0,348,8
3,3,0,298,8
4,4,0,26,8
5,5,0,68,8
6,6,0,446,8
7,7,0,444,8
8,8,0,20,8
9,9,0,162,8
10,10,0,1276,8
11,11,0,204,8
12,12,0,36,8
13,13,0,112,8
14,14,0,462,8
15,15,0,334,8
16,16,0,66,8
17,17,0,728,8
18,18,0,224,8
19,19,0,264,8
0,0,0,122,9
1,1,0,192,9
2,2,0,38,9
3,3,0,608,9
4,4,0,440,9
5,5,0,1038,9
6,6,0,296,9
7,7,0,144,9
8,8,0,546,9
9,9,0,410,9
10,10,0,1142,9
11,11,0,54,9
12,12,0,442,9
13,13,0,242,9
14,14,0,34,9
15,15,0,1098,9
16,16,0,114,9
17,17,0,128,9
18,18,0,1266,9
19,19,0,388,9
0,0,0,124,10
1,1,0,460,10
2,2,0,180,10
3,3,0,1156,10
4,4,0,176,10
5,5,0,962,10
6,6,0,700,10
7,7,0,184,10
8,8,0,590,10
9,9,0,310,10
10,10,0,900,10
11,11,0,48,10
12,12,0,62,10
13,13,0,128,10
14,14,0,1084,10
15,15,0,180,10
16,16,0,594,10
17,17,0,98,10
18,18,0,254,10
19,19,0,216,10
0,0,0,106,11
1,1,0,898,11
2,2,0,112,11
3,3,0,42,11
4,4,0,948,11
5,5,0,244,11
6,6,0,282,11
7,7,0,304,11
8,8,0,780,11
9,9,0,168,11
10,10,0,570,11
11,11,0,360,11
12,12,0,446,11
13,13,0,84,11
14,14,0,134,11
15,15,0,638,11
