,subID,epi,it,simID
0,0,0,134,0
1,1,0,226,0
2,2,0,124,0
3,3,0,232,0
4,4,0,720,0
5,5,0,168,0
6,6,0,646,0
7,7,0,74,0
8,8,0,492,0
9,9,0,360,0
10,10,0,1572,0
11,11,0,90,0
12,12,0,238,0
13,13,0,66,0
14,14,0,94,0
15,15,0,180,0
16,16,0,134,0
17,17,0,316,0
18,18,0,294,0
19,19,0,476,0
0,0,0,64,1
1,1,0,122,1
2,2,0,510,1
3,3,0,326,1
4,4,0,648,1
5,5,0,122,1
6,6,0,92,1
7,7,0,296,1
8,8,0,770,1
9,9,0,830,1
10,10,0,1154,1
11,11,0,202,1
12,12,0,182,1
13,13,0,104,1
14,14,0,976,1
15,15,0,672,1
16,16,0,1042,1
17,17,0,170,1
18,18,0,328,1
19,19,0,46,1
0,0,0,540,2
1,1,0,250,2
2,2,0,98,2
3,3,0,314,2
4,4,0,450,2
5,5,0,338,2
6,6,0,146,2
7,7,0,64,2
8,8,0,1186,2
9,9,0,18,2
10,10,0,418,2
11,11,0,134,2
12,12,0,154,2
13,13,0,800,2
14,14,0,276,2
15,15,0,654,2
16,16,0,200,2
17,17,0,430,2
18,18,0,222,2
19,19,0,1510,2
0,0,0,188,3
1,1,0,162,3
2,2,0,560,3
3,3,0,700,3
4,4,0,300,3
5,5,0,86,3
6,6,0,116,3
7,7,0,252,3
8,8,0,224,3
9,9,0,542,3
10,10,0,126,3
11,11,0,452,3
12,12,0,1620,3
13,13,0,608,3
14,14,0,58,3
15,15,0,68,3
16,16,0,406,3
17,17,0,784,3
18,18,0,164,3
19,19,0,104,3
0,0,0,338,4
1,1,0,436,4
2,2,0,1184,4
3,3,0,178,4
4,4,0,238,4
5,5,0,664,4
6,6,0,216,4
7,7,0,258,4
8,8,0,122,4
9,9,0,1228,4
10,10,0,370,4
11,11,0,136,4
12,12,0,110,4
13,13,0,886,4
14,14,0,204,4
15,15,0,178,4
16,16,0,302,4
17,17,0,408,4
18,18,0,1062,4
19,19,0,852,4
0,0,0,1034,5
1,1,0,228,5
2,2,0,60,5
3,3,0,66,5
4,4,0,136,5
5,5,0,160,5
6,6,0,498,5
7,7,0,126,5
8,8,0,96,5
9,9,0,558,5
10,10,0,136,5
11,11,0,254,5
12,12,0,514,5
13,13,0,20,5
14,14,0,490,5
15,15,0,122,5
16,16,0,192,5
17,17,0,398,5
18,18,0,200,5
19,19,0,158,5
0,0,0,860,6
1,1,0,464,6
2,2,0,454,6
3,3,0,62,6
4,4,0,858,6
5,5,0,376,6
6,6,0,76,6
7,7,0,216,6
8,8,0,138,6
9,9,0,432,6
10,10,0,596,6
11,11,0,166,6
12,12,0,182,6
13,13,0,610,6
14,14,0,156,6
15,15,0,42,6
16,16,0,626,6
17,17,0,212,6
18,18,0,1062,6
19,19,0,58,6
0,0,0,260,7
1,1,0,168,7
2,2,0,1430,7
3,3,0,198,7
4,4,0,248,7
5,5,0,270,7
6,6,0,86,7
7,7,0,632,7
8,8,0,138,7
9,9,0,300,7
10,10,0,50,7
11,11,0,228,7
12,12,0,510,7
13,13,0,56,7
14,14,0,250,7
15,15,0,226,7
16,16,0,320,7
17,17,0,332,7
18,18,0,72,7
19,19,0,344,7
0,0,0,34,8
1,1,0,276,8
2,2,0,388,8
3,3,0,1178,8
4,4,0,26,8
5,5,0,68,8
6,6,0,380,8
