,subID,epi,it,simID
0,0,0,142,0
1,1,0,116,0
2,2,0,852,0
3,3,0,76,0
4,4,0,794,0
5,5,0,46,0
6,6,0,514,0
7,7,0,74,0
8,8,0,46,0
9,9,0,558,0
10,10,0,1822,0
11,11,0,314,0
12,12,0,1442,0
13,13,0,178,0
14,14,0,172,0
15,15,0,482,0
16,16,0,236,0
17,17,0,528,0
18,18,0,448,0
19,19,0,574,0
0,0,0,314,1
1,1,0,1532,1
2,2,0,334,1
3,3,0,76,1
4,4,0,176,1
5,5,0,356,1
6,6,0,1206,1
7,7,0,134,1
8,8,0,940,1
9,9,0,168,1
10,10,0,1008,1
11,11,0,904,1
12,12,0,142,1
13,13,0,94,1
14,14,0,898,1
15,15,0,1970,1
16,16,0,490,1
17,17,0,202,1
18,18,0,772,1
19,19,0,894,1
0,0,0,224,2
1,1,0,446,2
2,2,0,150,2
3,3,0,374,2
4,4,0,136,2
5,5,0,680,2
6,6,0,126,2
7,7,0,62,2
8,8,0,392,2
9,9,0,18,2
10,10,0,660,2
11,11,0,134,2
12,12,0,168,2
13,13,0,692,2
14,14,0,442,2
15,15,0,784,2
16,16,0,332,2
17,17,0,166,2
18,18,0,142,2
19,19,0,40,2
0,0,0,256,3
1,1,0,168,3
2,2,0,1236,3
3,3,0,314,3
4,4,0,282,3
5,5,0,554,3
6,6,0,232,3
7,7,0,154,3
8,8,0,690,3
9,9,0,534,3
10,10,0,48,3
11,11,0,1606,3
12,12,0,1668,3
13,13,0,754,3
14,14,0,442,3
15,15,0,68,3
16,16,0,274,3
17,17,0,604,3
18,18,0,350,3
19,19,0,268,3
0,0,0,144,4
1,1,0,512,4
2,2,0,270,4
3,3,0,108,4
4,4,0,464,4
5,5,0,236,4
6,6,0,186,4
7,7,0,764,4
8,8,0,196,4
9,9,0,986,4
10,10,0,126,4
11,11,0,1074,4
12,12,0,1110,4
13,13,0,1224,4
14,14,0,374,4
15,15,0,380,4
16,16,0,506,4
17,17,0,284,4
18,18,0,680,4
19,19,0,1252,4
0,0,0,44,5
1,1,0,828,5
2,2,0,478,5
3,3,0,66,5
4,4,0,380,5
5,5,0,368,5
6,6,0,276,5
7,7,0,692,5
8,8,0,644,5
9,9,0,260,5
10,10,0,150,5
11,11,0,1088,5
12,12,0,240,5
13,13,0,20,5
14,14,0,70,5
15,15,0,446,5
16,16,0,422,5
17,17,0,56,5
18,18,0,1902,5
19,19,0,102,5
0,0,0,668,6
1,1,0,1634,6
2,2,0,534,6
3,3,0,40,6
4,4,0,260,6
5,5,0,384,6
6,6,0,96,6
7,7,0,498,6
8,8,0,236,6
9,9,0,722,6
10,10,0,144,6
11,11,0,896,6
12,12,0,214,6
13,13,0,772,6
14,14,0,176,6
15,15,0,42,6
16,16,0,270,6
17,17,0,148,6
18,18,0,78,6
19,19,0,806,6
0,0,0,578,7
1,1,0,676,7
2,2,0,828,7
3,3,0,708,7
4,4,0,162,7
5,5,0,474,7
6,6,0,266,7
7,7,0,456,7
8,8,0,1374,7
9,9,0,466,7
10,10,0,38,7
11,11,0,44,7
12,12,0,576,7
13,13,0,56,7
