exp_id,id_in_exp,yres,ypred,w
0,0,0.00018930372960656436,0.0011412308106224717,0.05
0,1,0.00048290320132172044,0.0019249413806988812,0.05
0,2,0.0009882253023265303,0.0038639490023551107,0.05
0,3,0.0010928500246509209,0.007741717760129755,0.05
0,4,0.0005665706567690385,0.015497255268162067,0.05
1,0,0.0,0.0,0.05
1,1,0.00021005733887662867,0.009306645009638775,0.05
1,2,9.997866324468092e-05,0.019001066894679168,0.05
1,3,0.0001038827366253823,0.028307711904317936,0.05
1,4,1.762208072244713e-05,0.03800213378935832,0.05
1,5,3.145839961607942e-05,0.04730877879899711,0.05
1,6,0.0003863789038740684,0.061656523188856886,0.05
2,0,0.0004134648860956166,0.0069661640093263135,0.05
2,1,5.873066437605921e-05,0.013536406562450014,0.05
2,2,1.5031771423101868e-06,0.020126041248209124,0.05
2,3,0.00014203703369629575,0.026717929085889703,0.05
3,0,1.5011784490529421e-05,0.07242549558129954,0.05
3,1,1.7937230628447043e-05,0.07283523678540492,0.05
3,2,5.172959694447471e-06,0.0732255858568749,0.05
3,3,3.662177941415013e-06,0.0736136817764234,0.05
