outer_resampling_id,train_mse
0,7.769303682383996e-06
1,8.430494623552762e-06
2,8.535157522839023e-06
3,8.292235242607333e-06
4,8.377427120359949e-06
5,8.594214947890229e-06
6,8.425946294368894e-06
7,8.578743056314923e-06
8,8.417054415482116e-06
9,8.199906522050348e-06
10,8.234301591114998e-06
11,8.213853953144074e-06
12,8.547572779312503e-06
13,7.283909980195482e-06
14,7.549744695986841e-06
15,7.953747114321365e-06
16,5.738635615833831e-06
17,8.005291826314465e-06
18,8.461441798350151e-06
19,8.253529264444329e-06
