outer_resampling_id,train_mse
0,5.859671798627175e-06
1,6.132848021439675e-06
2,6.3114568705260795e-06
3,6.1191851657786936e-06
4,6.190624455652265e-06
5,6.337480499138254e-06
6,6.09493861493213e-06
7,6.296539651863532e-06
8,6.222902406916814e-06
9,6.039659922027919e-06
10,6.069485899619107e-06
11,6.051780193550638e-06
12,6.249461788400925e-06
13,5.8813665854663166e-06
14,5.578540726078436e-06
15,5.775445519046641e-06
16,3.927387733598224e-06
17,6.132867835961861e-06
18,6.179021115710662e-06
19,5.797889144182366e-06
