,n_fam,nt_norm,steady
0,1,1.999998000989933e-06,6.2441687880407075
1,3,1.9999980018781116e-06,6.244168788040707
2,8,1.9999980018781116e-06,6.244168788040707
3,18,1.9999980018781116e-06,6.244168788040707
4,38,1.9999980018781116e-06,6.244168788040707
