,time_step,stimulus,type,familiarity,novelty,n_im
0,0,0,fam,0.043478260869565216,3.1354942159291497,3
1,1,1,fam,0.041666666666666664,3.1780538303479458,3
2,2,2,fam,0.040160642570281124,3.214867803470662,3
3,3,0,fam,0.07040062232594321,2.653553176000064,3
4,4,1,fam,0.0684594727485911,2.6815133475078987,3
5,5,2,fam,0.06680174644123844,2.7060260544513772,3
6,6,0,fam,0.08670539439470136,2.4452391780458003,3
7,7,1,fam,0.08507238057753136,2.4642528486368356,3
8,8,2,fam,0.08365438472651152,2.4810614353915366,3
9,9,0,fam,0.09719759406767317,2.331009320212283,3
10,10,1,fam,0.09592167957787433,2.3442232582214935,3
11,11,2,fam,0.09480166282464385,2.3559683295306466,3
12,12,0,fam,0.10421522360815616,2.261297060448084,3
13,13,1,fam,0.10324886575011996,2.270613032672329,3
14,14,2,fam,0.10239433975789103,2.2789238437063384,3
15,15,0,fam,0.10903093183412857,2.2161236587156803,3
16,16,1,fam,0.10831020378522065,2.222755911636671,3
17,17,2,fam,0.10766964720092397,2.228687561830039,3
18,18,0,fam,0.11239409244823727,2.1857439011934856,3
19,19,1,fam,0.11186106861565043,2.190497636481721,3
20,20,2,fam,0.11138565140321889,2.194756762269276,3
21,21,0,fam,0.11477170426805956,2.1648103039787125,3
22,22,1,fam,0.11437944707622305,2.168233874601571,3
23,23,2,fam,0.1140287010407795,2.1713050987591473,3
24,24,0,fam,0.11646712939066803,2.1501461969415714,3
25,25,1,fam,0.11617934860602998,2.152620173198575,3
26,26,2,fam,0.11592155915348858,2.1548415308057765,3
27,27,0,fam,0.1176835477524094,2.1397560556891877,3
28,28,1,fam,0.1174728343058983,2.141548169524772,3
29,29,2,fam,0.11728383632224519,2.143158330582012,3
30,30,0,fam,0.11856014263649878,2.1323349143607015,3
31,31,1,fam,0.11840606121280767,2.1336353651667914,3
32,32,2,fam,0.11826772995052985,2.1348043266926964,3
33,33,0,fam,0.11919385418987673,2.127004084489848,3
34,34,1,fam,0.11908128525979444,2.127948949646298,3
35,35,2,fam,0.1189801548622382,2.128798565641125,3
36,36,0,fam,0.11965303015887195,2.1231591397593643,3
37,37,1,fam,0.11957084059328012,2.1238462749400404,3
38,38,2,fam,0.11949696646426576,2.124464293169052,3
39,39,0,fam,0.11998629330350437,2.120377765194771,3
40,40,1,fam,0.11992631072048283,2.120877802152107,3
41,41,2,fam,0.11987237764878184,2.1213276217318318,3
42,42,0,fam,0.12022846217294138,2.118361494787082,3
