,model,subID,LL,bic,best
0,hhybrid2-l1,-1,-6676.153821955834,13469.095622768993,False
1,hhybrid2-l2,-1,-6617.663331765881,13352.114642389086,False
2,hhybrid2-l3,-1,-6593.984015153935,13304.756009165194,False
3,hhybrid2-l4,-1,-6609.594513592491,13335.977006042307,False
4,hhybrid2-l5,-1,-6539.411958079832,13195.61189501699,True
5,hhybrid2-l6,-1,-6575.87234529227,13268.532669441865,False
