,model,subID,LL,bic,best
0,hnac-gn-l1,-1,-6712.453240369207,13496.776006189077,True
1,hnac-gn-l2,-1,-6713.139467492546,13498.148460435754,False
2,hnac-gn-l3,-1,-6712.93213549769,13497.733796446042,False
3,hnac-gn-l4,-1,-6712.790827082381,13497.451179615424,False
4,hnac-gn-l5,-1,-6712.600673139288,13497.070871729238,False
5,hnac-gn-l6,-1,-6712.6908649543575,13497.251255359377,False
