,model,subID,LL,bic,best
0,hnor-l1,-1,-6695.448467719459,13426.831698164247,False
1,hnor-l2,-1,-6675.688444136085,13387.3116509975,False
2,hnor-l3,-1,-6660.814438354886,13357.563639435102,False
3,hnor-l4,-1,-6652.170570320582,13340.275903366493,False
4,hnor-l5,-1,-6628.11947383001,13292.17371038535,True
5,hnor-l6,-1,-6653.754569526276,13343.443901777882,False
