,subID,var_name,mle_ll,mle_var,opt_success,opt_it,opt_time
0,-1,gamma,6539.4119580798315,0.8747882185738711,True,846,24043.75772319734
1,-1,c_alph,6539.4119580798315,0.49923080014034005,True,846,24043.75772319734
2,-1,a_alph,6539.4119580798315,0.027652321471027558,True,846,24043.75772319734
3,-1,c_lam,6539.4119580798315,0.7703779321848181,True,846,24043.75772319734
4,-1,a_lam,6539.4119580798315,0.00010045998238642531,True,846,24043.75772319734
5,-1,temp,6539.4119580798315,0.5754983182209823,True,846,24043.75772319734
6,-1,c_w0,6539.4119580798315,-0.05696770844459398,True,846,24043.75772319734
7,-1,a_w0,6539.4119580798315,0.012213032905667519,True,846,24043.75772319734
8,-1,lambda_N,6539.4119580798315,0.0,True,846,24043.75772319734
9,-1,beta_1,6539.4119580798315,1.0248305423084898,True,846,24043.75772319734
10,-1,epsilon,6539.4119580798315,0.0037962836766553595,True,846,24043.75772319734
11,-1,k_leak,6539.4119580798315,0.9173104753482839,True,846,24043.75772319734
12,-1,w_mf,6539.4119580798315,0.2914973093924861,True,846,24043.75772319734
