resampling_id,train_rss,train_mse,train_nmse
0,1.5556245826495138e-05,8.187497803418493e-07,0.0018900169205355968
1,1.5469256102212046e-05,8.14171373800634e-07,0.0018051278706035095
2,1.4085997135926749e-05,7.413682703119342e-07,0.0016090820171974875
3,1.4607619432357972e-05,7.688220753872616e-07,0.0016703585318069308
4,1.546199385812543e-05,8.137891504276542e-07,0.0017662913764725453
5,1.5610478280006347e-05,8.216041200003341e-07,0.0021399262648122935
6,1.560800845328505e-05,8.214741291202657e-07,0.0018219203940087847
7,1.415997277410527e-05,7.452617249529089e-07,0.001630215485937729
8,1.5585208815563196e-05,8.202741481875366e-07,0.0017798137421652083
9,1.5094042893119637e-05,7.944233101641914e-07,0.0017284356586719815
10,1.5387666550646014e-05,8.09877186876106e-07,0.0017610685644646323
11,1.541635231206314e-05,8.113869637927968e-07,0.0017649339287404847
12,1.4319956886733766e-05,7.536819414070403e-07,0.0016548630655563346
13,1.5494075366967175e-05,8.154776508930091e-07,0.0018258695577112064
14,1.534031861952526e-05,8.073851905013294e-07,0.0018257051755404174
15,1.5401818528675554e-05,8.106220278250291e-07,0.0018723290920521496
16,7.667478863300315e-06,4.035515191210692e-07,0.0010714873468986375
17,1.4805089488066859e-05,7.792152362140452e-07,0.0019162772548047167
18,1.5596579452103044e-05,8.208726027422655e-07,0.002159904814990679
19,1.2381182521799995e-05,6.516411853578944e-07,0.0016483020292890743
