resampling_id,train_rss,train_mse,train_nmse,outer_resampling_id
0,5.341867221151311e-05,3.561244814100874e-06,0.0066870525428013436,0
1,6.308270703511896e-05,5.25689225292658e-06,0.010200757267827754,0
2,5.9438632455816406e-05,3.962575497054427e-06,0.009111916105868737,0
3,2.67169671055103e-05,1.7811311403673534e-06,0.012482713048864238,0
0,5.341867221151311e-05,3.561244814100874e-06,0.0066870525428013436,1
1,6.217797502901099e-05,5.181497919084249e-06,0.00942294694593086,1
2,5.961631651849324e-05,3.974421101232882e-06,0.008581720025532733,1
3,2.644553418246842e-05,1.7630356121645613e-06,0.011437601499350856,1
0,5.341867221151311e-05,3.561244814100874e-06,0.0066870525428013436,2
1,5.3880752280915756e-05,4.490062690076313e-06,0.0078410781013033,2
2,5.429195453704302e-05,3.619463635802868e-06,0.007503506928717871,2
3,2.0101632361446518e-05,1.3401088240964344e-06,0.008809715243505229,2
0,5.341867221151311e-05,3.561244814100874e-06,0.0066870525428013436,3
1,5.6219502533879064e-05,4.684958544489922e-06,0.00814465056378335,3
2,5.673571460403712e-05,3.782380973602475e-06,0.007798019066140342,3
3,2.257937163920624e-05,1.5052914426137494e-06,0.010415108341915768,3
0,5.341867221151311e-05,3.561244814100874e-06,0.0066870525428013436,4
1,6.295252726889554e-05,5.246043939074628e-06,0.009122673258945349,4
2,5.795715888031123e-05,3.8638105920207486e-06,0.007970873831813363,4
3,2.606490821583299e-05,1.7376605477221994e-06,0.011818761819181145,4
0,5.498701119466901e-05,3.9276436567620724e-06,0.008697290659302647,5
1,6.0009391459599004e-05,4.616107035353769e-06,0.008693671473605096,5
2,5.881822440405803e-05,3.9212149602705354e-06,0.010808531022766476,5
3,2.5562502148601444e-05,1.7041668099067629e-06,0.017319050003930577,5
0,5.4895287084620144e-05,3.9210919346157246e-06,0.007104792663266705,6
1,6.0009391459599004e-05,4.616107035353769e-06,0.008693671473605096,6
2,5.873638816749362e-05,3.9157592111662414e-06,0.008459632201930658,6
3,2.555079239382978e-05,1.7033861595886518e-06,0.011055218879548913,6
0,5.2460931866843777e-05,3.7472094190602696e-06,0.006664461486938797,7
1,6.0009391459599004e-05,4.616107035353769e-06,0.008693671473605096,7
2,5.290243674306782e-05,3.526829116204521e-06,0.007440253820945364,7
3,2.0896386097473333e-05,1.3930924064982223e-06,0.008957528868009774,7
0,5.4095271343388096e-05,3.86394795309915e-06,0.006772541808562956,8
1,6.0009391459599004e-05,4.616107035353769e-06,0.008693671473605096,8
2,5.8818514437100196e-05,3.92123429580668e-06,0.008094216718713616,8
3,2.5499917141716513e-05,1.6999944761144343e-06,0.011468939226890469,8
0,5.104607067379177e-05,3.6461479052708406e-06,0.006396612724636757,9
1,6.0009391459599004e-05,4.616107035353769e-06,0.008693671473605096,9
2,5.790156933899064e-05,3.860104622599376e-06,0.00795836162515932,9
3,2.4028981801722513e-05,1.6019321201148343e-06,0.01128826418713655,9
0,5.25858117168854e-05,3.756129408348957e-06,0.006587332767207881,10
1,6.0009391459599004e-05,4.616107035353769e-06,0.008693671473605096,10
2,5.855699369095703e-05,3.903799579397136e-06,0.008047879510941203,10
3,2.4919647958479508e-05,1.661309863898634e-06,0.011627438884384441,10
0,5.273167348886299e-05,3.766548106347356e-06,0.006606890404508903,11
1,6.0009391459599004e-05,4.616107035353769e-06,0.008693671473605096,11
2,5.86150355417486e-05,3.9076690361165735e-06,0.008056126749524491,11
3,2.500642422562131e-05,1.667094948374754e-06,0.011715156936037299,11
0,5.063695058398306e-05,3.6169250417130757e-06,0.006466514944370198,12
1,5.6247326449655724e-05,4.687277204137977e-06,0.008383278320629914,12
2,5.7858673793834306e-05,3.616167112114644e-06,0.00795184239486153,12
3,1.938708872004382e-05,1.2924725813362546e-06,0.008313132141638544,12
0,5.448280353673603e-05,3.891628824052573e-06,0.00713857110622509,13
1,6.144234607143664e-05,5.120195505953053e-06,0.009463351294085692,13
2,5.7858673793834306e-05,3.616167112114644e-06,0.00795184239486153,13
3,2.6658266617600872e-05,1.7772177745067248e-06,0.011698639349070223,13
0,5.405696732310177e-05,3.861211951650127e-06,0.007172555319492742,14
1,6.0823579014025836e-05,5.068631584502153e-06,0.009518576827603056,14
2,5.7858673793834306e-05,3.616167112114644e-06,0.00795184239486153,14
3,2.5732239703111645e-05,1.7154826468741097e-06,0.011497749668060595,14
0,5.4093229092489274e-05,3.863802078034948e-06,0.00737142803616063,15
1,6.0943613622427165e-05,5.078634468535597e-06,0.009863773720001131,15
2,5.7858673793834306e-05,3.616167112114644e-06,0.00795184239486153,15
3,2.6074142587383444e-05,1.7382761724922296e-06,0.012198786921495758,15
0,1.9454863963794577e-05,1.3896331402710412e-06,0.0029783293015450646,16
1,2.5097478747277438e-05,2.09145656227312e-06,0.004541612177438184,16
2,2.0661079627666315e-05,1.3774053085110877e-06,0.003453853340656681,16
3,2.45754840491415e-05,1.5359677530713437e-06,0.010532591051713253,16
0,6.145354431442843e-05,4.3895388796020305e-06,0.008683662911654079,17
1,6.842112245592551e-05,5.70176020466046e-06,0.011296985132444827,17
2,6.731831044527178e-05,4.487887363018119e-06,0.010371093325123721,17
3,2.45754840491415e-05,1.5359677530713437e-06,0.010532591051713253,17
0,6.667694469968607e-05,4.762638907120433e-06,0.010110756653934908,18
