outer_resampling_id,train_mse
0,3.6404609261123086e-06
1,3.620049861645642e-06
2,3.252719991019122e-06
3,3.383468943701755e-06
4,3.602189973229613e-06
5,3.542283115573285e-06
6,3.539086085181097e-06
7,3.320809494279196e-06
8,3.525320940093508e-06
9,3.4310729208347053e-06
10,3.4843364717496243e-06
11,3.489354781548113e-06
12,3.303210484825488e-06
13,3.601302304156749e-06
14,3.5653733237852585e-06
15,3.5742199577943546e-06
16,1.598615691031648e-06
17,4.0287885500879886e-06
18,4.3118916183230084e-06
19,3.2214227569396566e-06
