n_im,steady,sample_id
3,1.58608868108978,0
6,2.0288016562817472,0
9,2.201522008671212,0
12,2.231471664137331,0
3,1.7211005950924056,1
6,2.1336746009923697,1
9,2.1544402133444556,1
12,2.200140739788666,1
3,1.70739705748124,2
6,1.6826274254983145,2
9,2.004910217846343,2
12,2.043192954280835,2
3,1.6671441417460504,3
6,2.0126824453223007,3
9,2.1783199306170853,3
12,2.2124366681523924,3
3,1.9645760042515596,4
6,2.115203821819452,4
9,2.224867240757095,4
12,2.284718858010548,4
3,1.6381861880867705,5
6,1.9206854357457925,5
9,2.067894037266237,5
12,2.149462344685718,5
3,1.6414151248517865,6
6,2.0775601493595324,6
9,2.233787139549776,6
12,2.279396804901857,6
3,1.7250724619393085,7
6,1.796344042355362,7
9,1.9923269019114709,7
12,2.1152937149031463,7
3,1.5734964317019275,8
6,1.4060204258871873,8
9,1.8522774883918316,8
12,2.125814812371757,8
3,1.8082964055596946,9
6,1.842333629342376,9
9,1.960637603380045,9
12,2.0414874949493003,9
3,1.5991224718851391,10
6,1.8734730648900755,10
9,1.968952836122516,10
12,2.0382066121720253,10
3,1.6089188264338923,11
6,1.9329691196895773,11
9,1.986243113490127,11
12,2.1275657435246904,11
3,1.492142193730518,12
6,1.891450783408371,12
9,2.01357701397859,12
12,2.185058270549133,12
3,1.7138256902160305,13
6,1.816776684248156,13
9,2.011536510492663,13
12,2.0873117193693336,13
3,1.6490154674336905,14
6,1.8601865666506372,14
9,2.05230498064061,14
12,2.2154194854600675,14
3,1.7055390286173358,15
6,2.0002173350163677,15
9,2.0744683270079847,15
12,2.2673396186649954,15
3,1.7742846536024266,16
6,1.6939991632037383,16
9,1.8797964473386615,16
12,1.9948383980700344,16
3,1.7436043485576005,17
6,1.9375013621129775,17
9,2.020794706853661,17
12,2.0776401604287558,17
3,1.7054480210867964,18
6,2.0528105934748764,18
9,2.160729812715556,18
12,2.223533396284639,18
3,1.3139908725840839,19
6,1.7735400511067962,19
9,1.8329866469909395,19
12,2.0860158478379383,19
3,1.869786653142038,20
6,1.9410494537658713,20
9,2.021197759072829,20
12,2.189210924599858,20
3,1.6770320273770756,21
6,1.8513041917698074,21
9,2.08140850304759,21
12,2.0831213291439687,21
3,1.8243528221732104,22
6,2.017302290910083,22
9,2.1789650129791784,22
12,2.2507370248703302,22
3,1.5867989453562446,23
6,2.0077179696774854,23
9,2.069256292656563,23
12,2.242653069145716,23
3,1.5957692459342097,24
6,2.055126012341072,24
9,2.06905411997601,24
12,2.1528915126655566,24
3,1.7422255527578858,25
6,1.982553499391098,25
9,2.1839992876408663,25
12,2.253630521207811,25
3,1.7352579647288144,26
6,1.8874600831259458,26
9,2.145486080075578,26
12,2.284303791829531,26
3,1.884170329657167,27
6,2.088896588900288,27
9,2.207845926600792,27
12,2.1911620746564155,27
3,1.8494692623751001,28
6,1.9323069262196033,28
9,2.113613179254131,28
12,2.300975563288423,28
3,1.610684949209405,29
6,1.7140217539717557,29
9,2.0955838850349466,29
12,2.184298716765932,29
3,1.8437929833019182,30
6,1.9926187786714173,30
9,2.18361680764427,30
12,2.302137977366352,30
3,1.9051726703285752,31
6,1.9982922004128756,31
9,2.162247674296129,31
12,2.230323652035156,31
3,1.5294443035118948,32
6,2.013396149273054,32
9,2.1333486560544386,32
12,2.2088959021315544,32
3,1.7373225484479502,33
6,1.9189214578969966,33
9,2.1406701165034754,33
12,2.1965473799650166,33
3,1.5079487192546823,34
6,1.8668570244229956,34
9,2.090951163199312,34
12,2.1437157608198425,34
3,1.5643686572459605,35
6,1.9490177666608879,35
9,2.1002315510208174,35
12,2.2270753327021127,35
3,1.8398910615723112,36
6,1.823969676372051,36
9,2.0652771106563352,36
12,2.177939679705172,36
3,1.6487994345144705,37
6,1.8555164061109781,37
9,2.0738890381016146,37
12,2.222737663182746,37
3,1.544864261046669,38
6,1.8115444883138194,38
9,1.9952483873217315,38
12,2.1051940230647403,38
3,1.6168395852044062,39
6,1.8574310211754554,39
9,2.10183429403289,39
12,2.1237342254660097,39
3,1.6662979625969465,40
6,1.940572263720841,40
9,2.024975189390168,40
12,2.1120423079746526,40
3,1.749191282261829,41
6,2.0932854774721608,41
9,2.1293458886402723,41
12,2.213368142131484,41
3,1.679086184097208,42
6,2.1491070373769907,42
9,2.215459416020443,42
12,2.292134764779648,42
3,1.8810536744753892,43
6,1.9470203697939361,43
9,2.1682896101624753,43
12,2.140946301171049,43
3,1.148258423145761,44
6,2.0295064169328567,44
9,2.090517954894199,44
12,2.2655537712112244,44
3,1.6563419228714171,45
6,1.8902175738772855,45
9,1.9973781518971037,45
12,2.152760236879938,45
3,1.5660254262913833,46
6,2.019606223486887,46
9,2.193791531106017,46
12,2.3575743259402504,46
3,1.4730074749793034,47
6,1.8323699722195066,47
9,1.9407487654687363,47
12,2.068439482897918,47
3,1.453452190500253,48
6,1.7029515428059667,48
9,1.9676394599037865,48
12,2.1196967026570013,48
3,1.522487449117324,49
6,1.871024710917585,49
9,2.023620676059213,49
12,2.122328305780181,49
