outer_resampling_id,train_mse
0,8.53224391549896e-07
1,8.483879067966375e-07
2,7.718212556594548e-07
3,8.0075734235988e-07
4,8.478307704467823e-07
5,8.562726904627583e-07
6,8.56057437718704e-07
7,7.758817509789991e-07
8,8.546829111154097e-07
9,8.276083687653593e-07
10,8.4378546473177e-07
11,8.45362448773214e-07
12,7.846992413978705e-07
13,8.497397044885313e-07
14,8.412145155627878e-07
15,8.446446802153965e-07
16,4.227500818577529e-07
17,8.081403340079169e-07
18,8.508979031255023e-07
19,6.773000302619731e-07
