outer_resampling_id,train_mse
0,1.3408221259222657e-05
1,1.2557860018386074e-05
2,1.1086622172983527e-05
3,1.0771422415474433e-05
4,1.2285386481089594e-05
5,1.3951270845409606e-05
6,1.3335253310384821e-05
7,1.3651972600509592e-05
8,1.362698297008699e-05
9,1.3886265249268343e-05
10,1.3802019083994365e-05
11,1.2181408418317274e-05
12,1.2757012040229421e-05
13,1.378332709399823e-05
14,1.394225164566897e-05
15,1.3483356501970193e-05
16,1.3892417886592385e-05
17,1.3882077410850825e-05
18,1.3930713785555736e-05
19,1.3936038691183153e-05
