exp_id,id_in_exp,yres,ypred,w
0,0,0.00026802312620208507,0.03127141185732266,0.05
0,1,5.912304262688317e-05,0.031589150969182696,0.05
0,2,1.3507701100623183e-05,0.03162471754818447,0.05
0,3,8.418274626079444e-05,0.03162488440068495,0.05
0,4,5.890739940512408e-05,0.03162488440444549,0.05
1,0,5.2263061053025176e-27,-7.229319542877128e-14,0.05
1,1,6.122862399729085e-05,0.03162487213935735,0.05
1,2,6.890018136701183e-06,0.0316248844044455,0.05
1,3,4.7267214452236744e-05,0.0316248844044455,0.05
1,4,0.0001118330698593401,0.0316248844044455,0.05
1,5,0.00010150795426378559,0.0316248844044455,0.05
1,6,0.00010764302362111833,0.0316248844044455,0.05
2,0,1.8704621666668294e-05,0.03162488400615188,0.05
2,1,5.231174455911177e-05,0.02843268584684222,0.05
2,2,4.670103977760369e-05,0.02573381590164702,0.05
2,3,7.001766313373025e-05,0.023167655772899018,0.05
3,0,5.867749410481956e-05,0.06863987636491294,0.05
3,1,1.0446305823386478e-05,0.07183207453864951,0.05
3,2,9.390685933910062e-07,0.0745309444838447,0.05
3,3,2.9128738199269534e-05,0.07709710461259271,0.05
