outer_resampling_id,train_mse
0,2.515285432952003e-06
1,3.2312862085725403e-06
2,3.4220632236393395e-06
3,3.222027216737014e-06
4,3.2954388750368535e-06
5,3.4521345236031475e-06
6,3.225916504200071e-06
7,3.4175647879024e-06
8,3.328809135204812e-06
9,3.1407501828546202e-06
10,3.171191923714378e-06
11,3.153115443033044e-06
12,3.373609788230747e-06
13,3.361195672944593e-06
14,3.435090518047692e-06
15,3.44824987495328e-06
16,2.9390724986893187e-06
17,3.4334772309402002e-06
18,3.4456432310217233e-06
19,3.1071176887455945e-06
