outer_resampling_id,train_mse
0,2.894330465511883e-06
1,3.6257556792230953e-06
2,3.828105217068e-06
3,3.633189379803007e-06
4,3.7052323497592702e-06
5,3.855394318327759e-06
6,3.6203494172315766e-06
7,3.817398384848877e-06
8,3.7378641414603494e-06
9,3.5531710299603583e-06
10,3.5831653199405068e-06
11,3.5653575870048825e-06
12,3.7717052677536996e-06
13,3.813905993146661e-06
14,3.848831034912342e-06
15,3.790702958873158e-06
16,3.0413987917537125e-06
17,3.842862819613545e-06
18,3.8389710797989975e-06
19,3.2543193288080116e-06
