resampling_id,coef,shift
0,0.028259163104436838,0.022909154318483012
1,0.028210842347880728,0.0229338827217811
2,0.028541409200546698,0.022764713382716406
3,0.028505279627798818,0.022783202883079678
4,0.027645158260405683,0.023223374552029014
5,0.02798400942696639,0.02304996567141661
6,0.0282792300757036,0.02289888493956963
7,0.028098281637147757,0.02299148626214148
8,0.028391445396806617,0.022841458154183158
9,0.028461947513728717,0.02280537832214259
10,0.028285348150482895,0.022895753982371685
11,0.028190432453959073,0.022944327593180817
12,0.02755922513492256,0.023267351284494787
13,0.028541139869853783,0.022764851214126126
14,0.02829093973712524,0.02289289245826852
15,0.028502223372651514,0.022784766937851385
16,0.024012352007599325,0.023171379211688273
17,0.029609025546533344,0.022815446484727487
18,0.028615178946085104,0.022835950551660985
19,0.03044507176241877,0.022982237357566344
