resampling_id,train_rss,train_mse,train_nmse
0,1.6834671635227138e-05,8.86035349222481e-07,0.0020453401545023407
1,1.6793747455664813e-05,8.838814450349901e-07,0.001959684511252123
2,1.6730161582968516e-05,8.805348201562377e-07,0.0019111321611234838
3,1.681060130824112e-05,8.847684899074275e-07,0.0019222660783333853
4,1.5914642437799218e-05,8.376127598841694e-07,0.0018179994090966954
5,1.6835761902322243e-05,8.860927317011707e-07,0.002307891432708294
6,1.5003559551735436e-05,7.896610290387072e-07,0.001751363167943363
7,1.676889662316118e-05,8.825735064821674e-07,0.0019305768021784628
8,1.6084173872702034e-05,8.465354669843176e-07,0.0018367950040825425
9,1.6006931608943918e-05,8.424700846812588e-07,0.001832971562008337
10,1.65836821860503e-05,8.728253782131738e-07,0.0018979486775855046
11,1.6754608537753113e-05,8.818215019870059e-07,0.001918143570701004
12,1.4887145628256622e-05,7.83533980434559e-07,0.0017204093313006891
13,1.6809335338420854e-05,8.847018599168871e-07,0.001980863843299444
14,1.6419183451631354e-05,8.641675500858607e-07,0.001954104666876771
15,1.6777117123547757e-05,8.830061643972504e-07,0.0020395178928189835
16,7.872222320449451e-06,4.143274905499711e-07,0.0011000991015062212
17,1.5986862232095403e-05,8.414138016892318e-07,0.0020692384531517693
18,1.6800284498578628e-05,8.842254999251909e-07,0.002326600873808923
19,1.3307271482426164e-05,7.00382709601377e-07,0.0017715918935984492
