outer_resampling_id,train_mse
0,9.231935784758857e-07
1,9.208577747520702e-07
2,9.173222058478508e-07
3,9.216846471541146e-07
4,8.721957809279092e-07
5,9.232852638871405e-07
6,8.216499766652861e-07
7,9.19499343156172e-07
8,8.816810406474077e-07
9,8.774601537976554e-07
10,9.092237301195925e-07
11,9.186080482700604e-07
12,8.152359381081578e-07
13,9.217445062011882e-07
14,9.000750261973349e-07
15,9.199849789120708e-07
16,4.341052311520215e-07
17,8.722689625421356e-07
18,9.162121755112969e-07
19,7.276207453084914e-07
