outer_resampling_id,train_mse
0,3.687927120135511e-06
1,3.682009099633643e-06
2,3.5911240268108934e-06
3,3.6115598960971827e-06
4,3.533847587898464e-06
5,3.7140538602616142e-06
6,3.4179061437147013e-06
7,3.7030650693053172e-06
8,3.592134665514341e-06
9,3.5791748580548954e-06
10,3.6727080605575578e-06
11,3.7000863779538514e-06
12,3.3185449744444585e-06
13,3.7601699764723004e-06
14,3.6963233240441414e-06
15,3.763258012148445e-06
16,1.5089725480711934e-06
17,4.218092535213291e-06
18,4.512809591908758e-06
19,3.3507009886172636e-06
