outer_resampling_id,train_mse
0,3.5935259689690783e-06
1,3.2145892942144175e-06
2,2.870854014809687e-06
3,3.359822514368716e-06
4,3.921321297485359e-06
5,3.92425944982634e-06
6,3.6363272765417327e-06
7,3.879329919635703e-06
8,3.899724430113611e-06
9,3.888501832201344e-06
10,3.813598456936168e-06
11,3.7730888868185752e-06
12,3.894882949376761e-06
13,3.923835802881437e-06
14,3.919288178873783e-06
15,3.924746310706248e-06
16,3.324201379630227e-06
17,3.89082876570408e-06
18,3.913962993206512e-06
19,3.6303313665258366e-06
