,n_fam,nt_norm,steady
0,1,1.11874239531129,2.391924379000134
1,3,1.2349241962711033,2.29248733443008
2,8,1.2487036749203737,2.2809090069832374
3,18,1.2487686264144404,2.2808545436001384
4,38,1.248768627878356,2.2808545423726216
