n_im,nt,nt,nt,nt_norm,nt_norm,nt_norm,steady,steady,steady,sample_id,parent_id,perm_id,rotate,ksim,alph_k
,mean,std,sem,mean,std,sem,mean,std,sem,,,,,,
3,1.347909821589135,,,-0.4566967857807589,,,1.8046066073698939,,,0,12345,0,0.0,0.28868679127047286,0.4
6,1.3374472969624573,,,-2.183166114132575,,,3.5206134110950322,,,0,12345,0,0.0,0.28868679127047286,0.4
9,1.3356828916107033,,,-3.7532508361052783,,,5.088933727715982,,,0,12345,0,0.0,0.28868679127047286,0.4
12,1.33532085759866,,,-5.293668326290408,,,6.628989183889068,,,0,12345,0,0.0,0.28868679127047286,0.4
3,6.95923051264473,,,5.154623905274836,,,1.8046066073698939,,,0,12345,0,1.5707963267948966,0.028782830246681015,0.4
6,7.08911792625192,,,3.568504515156888,,,3.5206134110950322,,,0,12345,0,1.5707963267948966,0.028782830246681015,0.4
9,7.112961709381591,,,2.0240279816656095,,,5.088933727715982,,,0,12345,0,1.5707963267948966,0.028782830246681015,0.4
12,7.117938765377522,,,0.4889495814884537,,,6.628989183889068,,,0,12345,0,1.5707963267948966,0.028782830246681015,0.4
3,8.694399389341863,,,6.889792781971969,,,1.8046066073698939,,,0,12345,0,1.5990706606772047,0.027758513011792756,0.4
6,9.23922912822435,,,5.7186157171293175,,,3.5206134110950322,,,0,12345,0,1.5990706606772047,0.027758513011792756,0.4
9,9.352142215405802,,,4.263208487689821,,,5.088933727715982,,,0,12345,0,1.5990706606772047,0.027758513011792756,0.4
12,9.37629468657949,,,2.7473055026904216,,,6.628989183889068,,,0,12345,0,1.5990706606772047,0.027758513011792756,0.4
3,11.867908015780554,,,10.06330140841066,,,1.8046066073698939,,,0,12345,0,1.8849555921538759,0.025709428826417705,0.4
6,13.63371752939346,,,10.113104118298427,,,3.5206134110950322,,,0,12345,0,1.8849555921538759,0.025709428826417705,0.4
9,14.032515477176709,,,8.943581749460726,,,5.088933727715982,,,0,12345,0,1.8849555921538759,0.025709428826417705,0.4
12,14.117642994279343,,,7.488653810390275,,,6.628989183889068,,,0,12345,0,1.8849555921538759,0.025709428826417705,0.4
3,31.836428443040248,,,30.031821835670353,,,1.8046066073698939,,,0,12345,0,3.141592653589793,2.6982786226110566e-06,0.4
6,59.417425733811235,,,55.8968123227162,,,3.5206134110950322,,,0,12345,0,3.141592653589793,2.6982786226110566e-06,0.4
9,86.93885131236216,,,81.84991758464618,,,5.088933727715982,,,0,12345,0,3.141592653589793,2.6982786226110566e-06,0.4
12,109.62165004710012,,,102.99266086321106,,,6.628989183889068,,,0,12345,0,3.141592653589793,2.6982786226110566e-06,0.4
3,1.3479086790736936,,,-0.4566966344192742,,,1.8046053134929678,,,0,12345,1,0.0,0.2886867912704728,0.4
6,1.337447212760677,,,-2.183166101121871,,,3.520613313882548,,,0,12345,1,0.0,0.2886867912704728,0.4
9,1.3356830053788256,,,-3.753250909461304,,,5.08893391484013,,,0,12345,1,0.0,0.2886867912704728,0.4
12,1.3353207867528287,,,-5.29366811697084,,,6.628988903723669,,,0,12345,1,0.0,0.2886867912704728,0.4
3,6.959243696440735,,,5.154638382947767,,,1.8046053134929678,,,0,12345,1,1.5707963267948966,0.028782830246681015,0.4
6,7.089119025997286,,,3.5685057121147383,,,3.520613313882548,,,0,12345,1,1.5707963267948966,0.028782830246681015,0.4
9,7.112960146323392,,,2.024026231483262,,,5.08893391484013,,,0,12345,1,1.5707963267948966,0.028782830246681015,0.4
12,7.117940254594938,,,0.48895135087126906,,,6.628988903723669,,,0,12345,1,1.5707963267948966,0.028782830246681015,0.4
3,8.694448820918163,,,6.889843507425195,,,1.8046053134929678,,,0,12345,1,1.5990706606772047,0.027758513011792756,0.4
6,9.239232937751439,,,5.718619623868891,,,3.520613313882548,,,0,12345,1,1.5990706606772047,0.027758513011792756,0.4
9,9.352133583156142,,,4.2631996683160125,,,5.08893391484013,,,0,12345,1,1.5990706606772047,0.027758513011792756,0.4
12,9.376298086058203,,,2.7473091823345337,,,6.628988903723669,,,0,12345,1,1.5990706606772047,0.027758513011792756,0.4
3,11.868034372066841,,,10.063429058573874,,,1.8046053134929678,,,0,12345,1,1.8849555921538759,0.025709428826417705,0.4
6,13.63365149683324,,,10.113038182950692,,,3.520613313882548,,,0,12345,1,1.8849555921538759,0.025709428826417705,0.4
9,14.032399649831392,,,8.943465734991262,,,5.08893391484013,,,0,12345,1,1.8849555921538759,0.025709428826417705,0.4
12,14.117504066263917,,,7.488515162540248,,,6.628988903723669,,,0,12345,1,1.8849555921538759,0.025709428826417705,0.4
3,31.83614413217074,,,30.031538818677774,,,1.8046053134929678,,,0,12345,1,3.141592653589793,2.6982786226110566e-06,0.4
6,59.41817087916467,,,55.89755756528212,,,3.520613313882548,,,0,12345,1,3.141592653589793,2.6982786226110566e-06,0.4
9,86.94171110305864,,,81.85277718821851,,,5.08893391484013,,,0,12345,1,3.141592653589793,2.6982786226110566e-06,0.4
12,109.72353703296261,,,103.09454812923894,,,6.628988903723669,,,0,12345,1,3.141592653589793,2.6982786226110566e-06,0.4
3,1.3479092502127472,,,-0.45669702321088224,,,1.8046062734236294,,,0,12345,2,0.0,0.28868679127047286,0.4
6,1.3374470768362112,,,-2.1831661598376964,,,3.5206132366739076,,,0,12345,2,0.0,0.28868679127047286,0.4
9,1.335682994819788,,,-3.7532508831685973,,,5.088933877988385,,,0,12345,2,0.0,0.28868679127047286,0.4
12,1.3353205136601949,,,-5.293667906697473,,,6.628988420357667,,,0,12345,2,0.0,0.28868679127047286,0.4
3,6.959236985723174,,,5.154630712299545,,,1.8046062734236294,,,0,12345,2,1.5707963267948966,0.028782830246681015,0.4
6,7.08912075049533,,,3.5685075138214226,,,3.5206132366739076,,,0,12345,2,1.5707963267948966,0.028782830246681015,0.4
9,7.112960226776053,,,2.024026348787668,,,5.088933877988385,,,0,12345,2,1.5707963267948966,0.028782830246681015,0.4
12,7.1179430178656,,,0.4889545975079326,,,6.628988420357667,,,0,12345,2,1.5707963267948966,0.028782830246681015,0.4
3,8.694423017688708,,,6.889816744265079,,,1.8046062734236294,,,0,12345,2,1.5990706606772047,0.02775851301179275,0.4
6,9.239240310922625,,,5.718627074248717,,,3.5206132366739076,,,0,12345,2,1.5990706606772047,0.02775851301179275,0.4
9,9.352132672398664,,,4.263198794410279,,,5.088933877988385,,,0,12345,2,1.5990706606772047,0.02775851301179275,0.4
12,9.376319960997924,,,2.747331540640256,,,6.628988420357667,,,0,12345,2,1.5990706606772047,0.02775851301179275,0.4
3,11.867958894092617,,,10.063352620668987,,,1.8046062734236294,,,0,12345,2,1.8849555921538759,0.025709428826417705,0.4
6,13.633631201014468,,,10.11301796434056,,,3.5206132366739076,,,0,12345,2,1.8849555921538759,0.025709428826417705,0.4
9,14.032289548147874,,,8.94335567015949,,,5.088933877988385,,,0,12345,2,1.8849555921538759,0.025709428826417705,0.4
12,14.117949485905692,,,7.4889610655480245,,,6.628988420357667,,,0,12345,2,1.8849555921538759,0.025709428826417705,0.4
3,31.83623166854336,,,30.03162539511973,,,1.8046062734236294,,,0,12345,2,3.141592653589793,2.698278622611057e-06,0.4
6,59.41783191008244,,,55.89721867340853,,,3.5206132366739076,,,0,12345,2,3.141592653589793,2.698278622611057e-06,0.4
9,86.94078838056087,,,81.8518545025725,,,5.088933877988385,,,0,12345,2,3.141592653589793,2.698278622611057e-06,0.4
12,109.78421754291617,,,103.1552291225585,,,6.628988420357667,,,0,12345,2,3.141592653589793,2.698278622611057e-06,0.4
3,1.3479098333531048,,,-0.45669695154080503,,,1.8046067848939098,,,0,12345,3,0.0,0.2886867912704728,0.4
6,1.337447097952723,,,-2.1831660347941675,,,3.5206131327468904,,,0,12345,3,0.0,0.2886867912704728,0.4
9,1.3356830160266422,,,-3.7532509740511375,,,5.08893399007778,,,0,12345,3,0.0,0.2886867912704728,0.4
12,1.335320605834053,,,-5.293667937940864,,,6.628988543774916,,,0,12345,3,0.0,0.2886867912704728,0.4
3,6.959230258309304,,,5.154623473415395,,,1.8046067848939098,,,0,12345,3,1.5707963267948966,0.028782830246681015,0.4
6,7.0891204953992695,,,3.568507362652379,,,3.5206131327468904,,,0,12345,3,1.5707963267948966,0.028782830246681015,0.4
9,7.112959703180167,,,2.024025713102387,,,5.08893399007778,,,0,12345,3,1.5707963267948966,0.028782830246681015,0.4
12,7.117942025431114,,,0.488953481656198,,,6.628988543774916,,,0,12345,3,1.5707963267948966,0.028782830246681015,0.4
3,8.694398329929108,,,6.889791545035198,,,1.8046067848939098,,,0,12345,3,1.5990706606772047,0.02775851301179275,0.4
6,9.239240821604628,,,5.7186276888577385,,,3.5206131327468904,,,0,12345,3,1.5990706606772047,0.02775851301179275,0.4
9,9.35213459020246,,,4.263200600124681,,,5.08893399007778,,,0,12345,3,1.5990706606772047,0.02775851301179275,0.4
12,9.376317264928815,,,2.747328721153899,,,6.628988543774916,,,0,12345,3,1.5990706606772047,0.02775851301179275,0.4
3,11.867905582094105,,,10.063298797200195,,,1.8046067848939098,,,0,12345,3,1.8849555921538759,0.025709428826417705,0.4
6,13.633740507170437,,,10.113127374423547,,,3.5206131327468904,,,0,12345,3,1.8849555921538759,0.025709428826417705,0.4
9,14.03256063572645,,,8.94362664564867,,,5.08893399007778,,,0,12345,3,1.8849555921538759,0.025709428826417705,0.4
12,14.118179719788792,,,7.489191176013875,,,6.628988543774916,,,0,12345,3,1.8849555921538759,0.025709428826417705,0.4
