outer_resampling_id,train_mse
0,7.608878189775553e-06
1,8.24648315088321e-06
2,8.359354816366408e-06
3,8.120343689540146e-06
4,8.204472379390832e-06
5,8.415368296546504e-06
6,8.241851996092993e-06
7,8.398417056585428e-06
8,8.243531570606645e-06
9,8.029004915922294e-06
10,8.063046694281309e-06
11,8.042811065636799e-06
12,8.366018297041815e-06
13,7.200865138394285e-06
14,7.373338973227289e-06
15,7.774952170165707e-06
16,5.587559235892765e-06
17,7.877590526798438e-06
18,8.27438394960203e-06
19,8.058803272310037e-06
