exp_id,id_in_exp,yres,ypred,w
0,0,0.00025574428976820685,0.0308920070587843,0.05
0,1,5.229870096627335e-05,0.031131784079068827,0.05
0,2,1.737256858137914e-05,0.03113195866366717,0.05
0,3,9.347102328099385e-05,0.031131958663669575,0.05
0,4,6.671689927200253e-05,0.031131958663669575,0.05
1,0,0.0,0.0,0.05
1,1,5.375761784575932e-05,0.031131958663669575,0.05
1,2,4.545247743595756e-06,0.031131958663669575,0.05
1,3,5.4288033133873825e-05,0.031131958663669575,0.05
1,4,0.000122501539022719,0.031131958663669575,0.05
1,5,0.00011168349768638857,0.031131958663669575,0.05
1,6,0.00011811432248818686,0.031131958663669575,0.05
2,0,1.4683907200072307e-05,0.031131958663669575,0.05
2,1,0.0004129728346336798,0.00087826693823384,0.05
2,2,0.0003563130754425926,2.3743076483818922e-05,0.05
2,3,0.0002190210242982293,6.410848905585136e-07,0.05
3,0,0.0006968705714353653,0.049901693777149925,0.05
3,1,0.00013352693411336578,0.08015538550258561,0.05
3,2,3.0359101203194478e-05,0.08100990936433572,0.05
3,3,8.710510096989961e-05,0.081033011355929,0.05
