,model,subID,LL,bic,best
0,leaky_hnor_notrace-l1,-1,-6607.739247026488,13269.380638140972,False
1,leaky_hnor_notrace-l3,-1,-6479.64952639498,13013.201196877957,False
2,leaky_hnor_notrace-l4,-1,-6228.560839928121,12511.023823944239,False
3,leaky_hnor_notrace-l5,-1,-5950.062462651988,11954.027069391974,True
4,leaky_hnor_notrace-l6,-1,-5971.850890257699,11997.603924603394,False
