exp_id,id_in_exp,yres,ypred,w
0,0,0.000302000129779417,0.0322781509309655,0.05
0,1,7.233922002870004e-05,0.03240524661774719,0.05
0,2,8.368701295168337e-06,0.03240712922943863,0.05
0,3,7.044027880791168e-05,0.03240712928683447,0.05
0,4,4.7511666668415066e-05,0.03240712928683447,0.05
1,0,0.0,0.0,0.05
1,1,7.408267456028366e-05,0.03240712928683447,0.05
1,2,1.1608529977205172e-05,0.03240712928683447,0.05
1,3,3.7123073527350194e-05,0.03240712928683447,0.05
1,4,9.590031680477514e-05,0.03240712928683447,0.05
1,5,8.635744609160959e-05,0.03240712928683447,0.05
1,6,9.202316851950894e-05,0.03240712928683447,0.05
2,0,2.608276955241289e-05,0.032407129286831586,0.05
2,1,1.8215964093538975e-05,0.025468016412051268,0.05
2,2,1.329420690405037e-09,0.018863538778265052,0.05
2,3,6.021542137950777e-06,0.012346116926593532,0.05
3,0,0.00017985301492365753,0.06288907106410382,0.05
3,1,1.5084357877329727e-06,0.06982818393888414,0.05
3,2,8.698576091359434e-07,0.07643266157267035,0.05
3,3,0.00012656437705465181,0.08295008342434187,0.05
