outer_resampling_id,train_mse
0,1.3404586137516797e-05
1,1.2553048532643954e-05
2,1.108193101701738e-05
3,1.0766587653660612e-05
4,1.22800330870647e-05
5,1.3945537192267152e-05
6,1.3329317700024309e-05
7,1.364595532422409e-05
8,1.3620813086951146e-05
9,1.3880305253843504e-05
10,1.3796933513588568e-05
11,1.2179151887844825e-05
12,1.2751857505723477e-05
13,1.3779531371189626e-05
14,1.3936053054895906e-05
15,1.3473547099262918e-05
16,1.3887749415504199e-05
17,1.387651836096785e-05
18,1.3924742683761598e-05
19,1.3930552391531585e-05
