exp_id,id_in_exp,yres,ypred,w
0,0,0.00019067405050312682,0.0010915225132121526,0.05
0,1,0.0004853290523004133,0.0018698149735320384,0.05
0,2,0.0009917383556871957,0.003808122385491273,0.05
0,3,0.0010966222062787274,0.007684713404852932,0.05
0,4,0.000569400033862919,0.015437895443550691,0.05
1,0,0.0,0.0,0.05
1,1,0.00021013927963385123,0.009303818446437311,0.05
1,2,0.00010009410223147464,0.01899529599480951,0.05
1,3,0.00010405806618277916,0.02829911444124682,0.05
1,4,1.7719115797859607e-05,0.037990591989619016,0.05
1,5,3.1297428127055985e-05,0.04729441043605633,0.05
1,6,0.00038564307916867576,0.06163779720764719,0.05
2,0,0.0004157767640696888,0.006909395200983156,0.05
2,1,5.9430972038204375e-05,0.013490851406400032,0.05
2,2,1.3936139869847256e-06,0.02008051428919125,0.05
2,3,0.00014091314846771715,0.026670684414460574,0.05
3,0,1.492531579500753e-05,0.07243667037453345,0.05
3,1,1.7918949387479328e-05,0.07283307800394456,0.05
3,2,5.19256959645356e-06,0.07322127895598132,0.05
3,3,3.644176637778866e-06,0.07360897266553999,0.05
