exp_id,id_in_exp,yres,ypred,w
0,0,5.119629404990017e-07,0.015615515856217737,0.05
0,1,1.6818445398861913e-06,0.02260314050881131,0.05
0,2,2.0413129132585392e-05,0.030781910898113517,0.05
0,3,1.5985966800045417e-05,0.03680175453479337,0.05
0,4,7.934172079696457e-07,0.04019073969708869,0.05
1,0,1.6352950979724317e-09,-4.0438782102981684e-05,0.05
1,1,1.3496251175623531e-05,0.027473724428372866,0.05
1,2,4.578748149366923e-05,0.03576664477371683,0.05
1,3,1.8233942685943125e-07,0.03807298779073728,0.05
1,4,1.1780296700739778e-05,0.03876775631681843,0.05
1,5,6.809979534689361e-06,0.03909040625102501,0.05
1,6,7.0710075824810185e-06,0.0393408633764921,0.05
2,0,1.5800306516772763e-05,0.03127495993901483,0.05
2,1,1.906858960604796e-09,0.021243667596231128,0.05
2,2,2.37478837334949e-06,0.020441034838460666,0.05
2,3,5.916203943070846e-07,0.015569168638405835,0.05
3,0,0.00011358727196742889,0.0656422670343347,0.05
3,1,1.2205414951248015e-05,0.07209362490133786,0.05
3,2,2.1320619844137724e-07,0.0759617425672833,0.05
3,3,4.492170325596798e-05,0.07840236549704416,0.05
