outer_resampling_id,train_mse
0,3.638047873796307e-06
1,3.629109754108164e-06
2,3.3666010816102263e-06
3,3.4225556718620956e-06
4,3.6228413382666147e-06
5,3.635343450523551e-06
6,3.5231409136762252e-06
7,3.231355065963822e-06
8,3.62409955966825e-06
9,3.495744421123581e-06
10,3.5475670436983652e-06
11,3.544421793301696e-06
12,3.365945211389342e-06
13,3.607031604182683e-06
14,3.5865023919159757e-06
15,3.6080774541929943e-06
16,1.598506465963761e-06
17,4.057105218517286e-06
18,4.356317464577081e-06
19,3.2799177350840466e-06
