outer_resampling_id,train_mse
0,7.357866354435489e-06
1,7.966054603600878e-06
2,8.090736014246556e-06
3,7.857410357432643e-06
4,7.939992985822792e-06
5,8.142472803960096e-06
6,7.961198075842946e-06
7,8.123229788855067e-06
8,7.97822622440954e-06
9,7.767511515131586e-06
10,7.8010393713996e-06
11,7.781112141222094e-06
12,8.089048338022373e-06
13,7.071656026715208e-06
14,7.1125942553700826e-06
15,7.502738955264473e-06
16,5.365149637426222e-06
17,7.679014091316327e-06
18,7.990389530554628e-06
19,7.759199913029956e-06
